Box,DaysSinceMeta,MetaDate,PhotoDate,PhotoTime,Runway,Cohort,Init_Mass,Density,Year,Wk1Dist,Wk1Recaps,Wk1Moves
27-A,16,5/24/2013,6/8/2013,2012,11,2.4,2.54,6,2013,52.63,6,4
28-B,16,5/24/2013,6/8/2013,2015,4,2.4,1.43,18,2013,46.27,6,3
12-D,14,5/26/2013,6/8/2013,2023,8,2.4,1.91,18,2013,42.13,7,5
47-B,14,5/26/2013,6/8/2013,2021,2,2.4,2.71,6,2013,50.84,7,5
28-A,14,5/26/2013,6/8/2013,2032,8,2.4,1.66,18,2013,45.37,7,4
41-A,16,5/24/2013,6/8/2013,2027,8,2.4,1.56,18,2013,24.46,7,6
26-B,14,5/26/2013,6/8/2013,2039,11,2.4,2.37,6,2013,31.56,5,2
43-I,12,5/28/2013,6/8/2013,2037,8,2.4,1.32,18,2013,23.15,7,7
25,14,5/26/2013,6/8/2013,2047,8,2.4,1.48,18,2013,31.83,6,3
9-A,12,5/28/2013,6/8/2013,2045,8,2.4,1.72,18,2013,56.83,7,7
43-H,12,5/28/2013,6/8/2013,2051,4,2.4,1.17,18,2013,45.5,7,2
16-A,12,5/28/2013,6/8/2013,2104,6,2.4,1.11,36,2013,34.87,6,4
43,14,5/26/2013,6/8/2013,2101,11,2.4,1.22,18,2013,49.96,7,3
41-A,12,5/28/2013,6/8/2013,2120,4,2.4,1.55,18,2013,47.61,5,2
12-C,14,5/26/2013,6/8/2013,2118,11,2.4,2.01,18,2013,47.44,7,6
7-D,12,5/28/2013,6/8/2013,2126,4,2.4,1.74,18,2013,64.54,6,3
12-C,12,5/28/2013,6/8/2013,2124,4,2.4,1.33,18,2013,,7,5
17-B,16,5/24/2013,6/8/2013,2132,2,2.4,2.93,6,2013,0.88,7,5
43-D,12,5/28/2013,6/8/2013,2136,8,2.4,1.27,18,2013,38.24,7,3
28-A,12,5/28/2013,6/8/2013,2146,8,2.4,1.68,18,2013,31.17,7,7
16-C,10,5/30/2013,6/8/2013,2143,6,2.4,1.1,36,2013,27.18,2,1
16-F,10,5/30/2013,6/8/2013,2155,6,2.4,0.94,36,2013,,2,1
4-C,10,5/30/2013,6/8/2013,2152,6,2.4,0.84,36,2013,,,
13,12,5/28/2013,6/8/2013,2206,6,2.4,0.96,36,2013,,,
44-E,14,5/26/2013,6/8/2013,2203,11,2.4,1.93,6,2013,,5,4
26-A,14,5/26/2013,6/8/2013,2235,11,2.4,2.82,6,2013,,3,3
16-E,10,5/30/2013,6/8/2013,2212,6,2.4,1.17,36,2013,,3,3
2,14,5/26/2013,6/8/2013,2216,11,2.4,1.97,6,2013,,4,3
45-I,14,5/26/2013,6/8/2013,2219,4,2.4,2.81,18,2013,,3,1
23-I,14,5/26/2013,6/8/2013,2228,4,2.4,1.1,18,2013,,5,3
13-C,12,5/28/2013,6/8/2013,2225,6,2.4,0.99,36,2013,,,
44-A,14,5/26/2013,6/8/2013,2248,11,2.4,3.37,6,2013,47.57,5,1
39-B,14,5/26/2013,6/8/2013,2252,11,2.4,1.97,6,2013,,4,3
