Box	DaysSinceMeta	FirstNight	MetaDate	MovesFirstWeek	MovtRate	Net_Dist	PhotoDate	Photo	Run_Assgnmt	Cohort	Total_Dist	TotalMoves	TotDistFirstWk	TotRecaps	Init_Mass	Density	Year	RecapsFirstWeek	NetDistFirstWk	Species	TagSize
23-D	6	50	05/21/2013	2	13.404	50	5/25/2013	NA	2	2.1	67.02	2	67.02	5	1.21	18	2013	5	50	AMAN	9
48	5	38.700000000000003	05/22/2013	4	9.58	38.7	5/25/2013	2045	7	2.1	67.06	4	67.06	7	2.83	6	2013	7	38.7	AMAN	12
23-E	6	50	05/21/2013	3	4.762	50	5/25/2013	NA	2	2.1	71.43	7	71.43	12	1.27	18	2013	5	50	AMAN	9
31	5	29.09	05/22/2013	5	6.465714286	33.24	5/25/2013	2037	7	2.1	45.26	5	45.26	7	2.40	6	2013	7	33.24	AMAN	12
23-B	5	1.64	05/22/2013	3	4.735333333	46.82	5/25/2013	2052	2	2.1	71.03	8	71.03	13	1.22	18	2013	6	46.82	AMAN	9
25-A	6	48.55	05/21/2013	1	12.1725	48.69	5/25/2013	2101	2	2.1	48.69	1	48.69	4	1.90	18	2013	4	48.69	AMAN	12
3	5	NA	05/22/2013				5/25/2013	2054	7	2.1					2.25	6	2013			AMAN	12
24-B	6	.38	05/21/2013	2	0.357142857	0.58	5/25/2013	2114	5	2.1	2.5	2	2.5	7	2.03	6	2013	7	0.58	AMAN	12
15-B	6	.61	05/21/2013	3	3.926666667	23.18	5/25/2013	2121	7	2.1	23.56	3	23.56	6	2.47	6	2013	6	23.18	AMAN	12
18-B	6	NA	05/21/2013	3	2.645862069	41.66	5/25/2013	2136	5	2.1	76.73	5	76.73	14	2.42	6	2013	4	41.66	AMAN	12
42	5	.25	05/22/2013	2	6.155714286	36.07	5/25/2013	2141	1	2.1	43.09	2	43.09	7	2.70	6	2013	7	36.07	AMAN	12
23-C	6	3.2	05/21/2013	1	0.8725	3.2	5/25/2013	2154	2	2.1	3.49	1	3.49	4	1.22	18	2013	4	3.2	AMAN	9
24-B	6	26.02	05/21/2013	4	9.944285714	49.91	5/25/2013	2156	7	2.1	69.61	4	69.61	6	1.96	6	2013	6	49.91	AMAN	9
47-A	6	1.5	05/21/2013	3	7.045714286	49.32	5/25/2013	2202	5	2.1	49.32	3	49.32	7	3.29	6	2013	7	49.32	AMAN	12
23-A	5	34.31	05/22/2013	3	4.699333333	44.73	5/25/2013	2205	2	2.1	70.49	8	70.49	13	1.32	18	2013	6	44.73	AMAN	9
