Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/2/2013	153	1	1	TL	5/26/2013	146	8A-D	8A	8A-D_2013_5_26
6/2/2013	153	1	2	TL	5/26/2013	146	17A-A2	17A	17A-A2_2013_5_26
6/2/2013	153	1	3	TL	5/26/2013	146	17A-D	17A	17A-D_2013_5_26
6/2/2013	153	1	4	TL	5/26/2013	146	6A-B	6A	6A-B_2013_5_26
6/2/2013	153	1	5	TL	5/24/2013	144	5A-A	5A	5A-A_2013_5_24
6/2/2013	153	1	6	TL	5/24/2013	144	5A-B	5A	5A-B_2013_5_24
6/2/2013	153	1	7	TL	5/26/2013	146	6A-A	6A	6A-A_2013_5_26
6/2/2013	153	1	8	TL	5/26/2013	146	1A	1A	1A_2013_5_26
6/2/2013	153	1	9	TL	5/24/2013	144	8A-A	8A	8A-A_2013_5_24
6/2/2013	153	2	1	TL	5/26/2013	146	8A-E	8A	8A-E_2013_5_26
6/2/2013	153	2	2	TL	5/28/2013	148	18A-A	18A	18A-A_2013_5_28
6/2/2013	153	2	3	TL	5/28/2013	148	4A-B	4A	4A-B_2013_5_28
6/2/2013	153	2	4	TL	5/28/2013	148	8A-B	8A	8A-B_2013_5_28
6/2/2013	153	2	5	TL	5/28/2013	148	19A-A	19A	19A-A_2013_5_28
6/2/2013	153	2	6	TL	5/26/2013	146	25	25	25_2013_5_26
6/2/2013	153	2	7	TL	5/26/2013	146	29-A2	29	29-A2_2013_5_26
6/2/2013	153	2	8	TL	5/28/2013	148	6A-A	6A	6A-A_2013_5_28
6/2/2013	153	2	9	TL	5/26/2013	146	17A-B	17A	17A-B_2013_5_26
6/3/2013	154	1	1	TL	5/28/2013	148	25-B	25	25-B_2013_5_28
6/3/2013	154	1	2	TL	5/30/2013	150	11-A1	11	11-A1_2013_5_30
6/3/2013	154	1	3	TL	5/28/2013	148	43-D	43	43-D_2013_5_28
6/3/2013	154	1	4	TL	5/30/2013	150	9-B	9	9-B_2013_5_30
6/3/2013	154	1	5	TL	5/30/2013	150	7-D	7	7-D_2013_5_30
6/3/2013	154	1	6	TL	5/30/2013	150	25-B	25	25-B_2013_5_30
6/3/2013	154	1	7	TL	5/30/2013	150	16-A	16	16-A_2013_5_30
6/3/2013	154	1	8	TL	5/30/2013	150	13-B	13	13-B_2013_5_30
6/3/2013	154	1	9	TL	5/30/2013	150	7-B	7	7-B_2013_5_30
6/3/2013	154	2	1	TL	5/30/2013	150	2-C	2	2-C_2013_5_30
6/3/2013	154	2	2	TL	5/30/2013	150	8-A	8	8-A_2013_5_30
6/3/2013	154	2	3	TL	5/30/2013	150	16-E	16	16-E_2013_5_30
6/3/2013	154	2	4	TL	5/30/2013	150	13-G	13	13-G_2013_5_30
6/3/2013	154	2	5	TL	6/1/2013	152	34-B	34	34-B_2013_6_1
6/3/2013	154	2	6	TL	6/1/2013	152	33-A	33	33-A_2013_6_1
6/3/2013	154	2	7	TL	6/1/2013	152	12-B	12	12-B_2013_6_1
6/3/2013	154	2	8	TL	6/1/2013	152	12-C	12	12-C_2013_6_1
6/3/2013	154	2	9	TL	6/1/2013	152	16-B	16	16-B_2013_6_1
6/7/2013	158	1	1	TL	6/5/2013	156	16	16	16_2013_6_5
6/7/2013	158	1	2	TL	6/5/2013	156	38-A	38	38-A_2013_6_5
6/7/2013	158	1	3	TL	6/5/2013	156	38-B	38	38-B_2013_6_5
6/7/2013	158	1	4	TL	6/5/2013	156	34-A	34	34-A_2013_6_5
6/7/2013	158	1	5	TL	6/5/2013	156	12	12	12_2013_6_5
6/7/2013	158	1	6	TL	6/5/2013	156	38-E	38	38-E_2013_6_5
6/7/2013	158	1	7	TL	6/5/2013	156	38-G	38	38-G_2013_6_5
6/7/2013	158	1	8	TL	6/5/2013	156	16-A	16	16-A_2013_6_5
6/7/2013	158	1	9	TL	6/5/2013	156	13	13	13_2013_6_5
6/10/2013	161	1	1	TL	6/9/2013	160	38-C	38	38-C_2013_6_9
6/10/2013	161	1	2	TL	6/9/2013	160	49-F	49	49-F_2013_6_9
6/10/2013	161	1	3	TL	6/9/2013	160	47-A	47	47-A_2013_6_9
6/10/2013	161	1	4	TL	6/7/2013	158	13-A	13	13-A_2013_6_7
6/10/2013	161	1	5	TL	6/7/2013	158	13-B	13	13-B_2013_6_7
6/10/2013	161	1	6	TL	6/7/2013	158	19	19	19_2013_6_7
6/10/2013	161	1	7	TL	6/7/2013	158	35-E	35	35-E_2013_6_7
6/10/2013	161	1	8	TL	6/7/2013	158	38-C	38	38-C_2013_6_7
6/10/2013	161	1	9	TL	6/7/2013	158	25	25	25_2013_6_7
6/10/2013	161	2	1	TL	6/9/2013	160	45-A	45	45-A_2013_6_9
6/10/2013	161	2	2	TL	6/3/2013	154	37	37	37_2013_6_3
6/10/2013	161	2	4	TL	6/9/2013	160	49-B	49	49-B_2013_6_9
6/10/2013	161	2	5	TL	6/9/2013	160	49-D	49	49-D_2013_6_9
6/10/2013	161	2	6	TL	6/9/2013	160	43-B	43	43-B_2013_6_9
6/10/2013	161	2	7	TL	6/3/2013	154	35-B	35	35-B_2013_6_3
