ID	Year	Species	Box	Tank	Meta_Date	Measured	Mass	SVL
1	2013	AMAN	1A	1A	5/17/2013	5/17/2013	1.912	41
2	2013	AMAN	23	23	5/19/2013	5/19/2013	1.248	35
3	2013	AMAN	30	30	5/19/2013	5/19/2013	2.418	45
4	2013	AMAN	23-A	23	5/21/2013	5/21/2013	1.373	39
5	2013	AMAN	23-B	23	5/21/2013	5/21/2013	1.559	37
6	2013	AMAN	24-A	24	5/21/2013	5/21/2013	2.112	41
7	2013	AMAN	24-B	24	5/21/2013	5/21/2013	2.119	42
8	2013	AMAN	25-A	25	5/21/2013	5/21/2013	1.892	40
9	2013	AMAN	23-C	23	5/21/2013	5/21/2013	1.244	36
10	2013	AMAN	15-A	15	5/21/2013	5/21/2013	2.643	44
11	2013	AMAN	15-B	15	5/21/2013	5/21/2013	2.315	42
12	2013	AMAN	23-D	23	5/21/2013	5/21/2013	1.22	38
13	2013	AMAN	50-A	50	5/21/2013	5/21/2013	2.925	48
14	2013	AMAN	1A-A	1A	5/21/2013	5/21/2013	1.377	35
15	2013	AMAN	17-A	17	5/21/2013	5/21/2013	2.787	45
16	2013	AMAN	17-B	17	5/21/2013	5/21/2013	3.272	48
17	2013	AMAN	18-A	18	5/21/2013	5/21/2013	2.583	48
18	2013	AMAN	23-E	23	5/21/2013	5/21/2013	1.388	36
19	2013	AMAN	30-A	30	5/21/2013	5/21/2013	2.165	44
20	2013	AMAN	23-F	23	5/21/2013	5/21/2013	1.35	40
21	2013	AMAN	20-A	20	5/21/2013	5/21/2013	1.86	39
22	2013	AMAN	21-A	21	5/21/2013	5/21/2013	2.99	44
23	2013	AMAN	29-A	29	5/21/2013	5/21/2013	1.88	41
24	2013	AMAN	3-A	3	5/21/2013	5/21/2013	2.6	42
25	2013	AMAN	30-B	30	5/21/2013	5/21/2013	2.48	44
26	2013	AMAN	48-A	48	5/21/2013	5/21/2013	2.71	45
27	2013	AMAN	47-A	47	5/21/2013	5/21/2013	3.47	47
28	2013	AMAN	18-B	18	5/21/2013	5/21/2013	2.17	44
29	2013	AMAN	31-A	31	5/21/2013	5/21/2013	2.47	45
30	2013	AMAN	8A-A	8A	5/21/2013	5/21/2013	1.95	42
31	2013	AMAN	37-A	37	5/21/2013	5/21/2013	2.81	47
32	2013	AMAN	10-A	10	5/21/2013	5/21/2013	2.11	46
33	2013	AMAN	17A-A	17A	5/21/2013	5/21/2013	2.27	43
34	2013	AMAN	18A-A	18A	5/21/2013	5/21/2013	2.56	46
35	2013	AMAN	23-A	23	5/22/2013	5/22/2013	1.37	35
36	2013	AMAN	23-B	23	5/22/2013	5/22/2013	1.092	30
37	2013	AMAN	5A	5A	5/22/2013	5/22/2013	1.88	41
38	2013	AMAN	41	41	5/22/2013	5/22/2013	1.529	39
39	2013	AMAN	40-A	40	5/22/2013	5/22/2013	2.39	40
40	2013	AMAN	24	24	5/22/2013	5/22/2013	1.883	41
41	2013	AMAN	28	28	5/22/2013	5/22/2013	2.533	41
42	2013	AMAN	17A-A	17A	5/22/2013	5/22/2013	1.584	36
