Year	Species	Box	Tank	Removed	Measured	Mass	SVL	Density	Hydro
2013	AMMA	103-A	103	6/11/2013	6/11/2013	0.756	31	36	Perm
2013	AMMA	103-B	103	6/11/2013	6/11/2013	0.649	28	36	Perm
2013	AMMA	100	100	6/11/2013	6/11/2013	0.674	28	36	Perm
2013	AMMA	104	104	6/13/2013	6/13/2013	1.177	34	6	Perm
2013	AMMA	100-A	100	6/13/2013	6/13/2013	0.724	32	36	Perm
2013	AMMA	102	102	6/13/2013	6/13/2013	1.047	33	6	Ephem
2013	AMMA	103	103	6/13/2013	6/13/2013	0.535	28	36	Perm
2013	AMMA	115-C	115	6/13/2013	6/13/2013	1.036	31	18	Perm
2013	AMMA	115-A	115	6/13/2013	6/13/2013	0.898	28	18	Perm
2013	AMMA	115-B	115	6/13/2013	6/13/2013	1.196	31	18	Perm
2013	AMMA	100-D	100	6/13/2013	6/13/2013	0.714	29	36	Perm
2013	AMMA	100-B	100	6/13/2013	6/13/2013	0.766	28	36	Perm
2013	AMMA	100-C	100	6/13/2013	6/13/2013	0.812	28	36	Perm
2013	AMMA	112-A	112	6/15/2013	6/15/2013	0.693	28	36	Ephem
2013	AMMA	116	116	6/15/2013	6/15/2013	1.128	30	6	Perm
2013	AMMA	104	104	6/15/2013	6/15/2013	1.606	33	6	Perm
2013	AMMA	108	108	6/15/2013	6/15/2013	0.577	24	36	Ephem
2013	AMMA	113-A	113	6/15/2013	6/15/2013	0.893	29	6	Ephem
2013	AMMA	101-A	101	6/15/2013	6/15/2013	0.81	28	18	Perm
2013	AMMA	100-A	100	6/15/2013	6/15/2013	0.674	25	36	Perm
2013	AMMA	100-B	100	6/15/2013	6/15/2013	0.71	27	36	Perm
2013	AMMA	100-D	100	6/15/2013	6/15/2013	0.693	26	36	Perm
2013	AMMA	101-B	101	6/15/2013	6/15/2013	0.938	30	18	Perm
2013	AMMA	113-B	113	6/15/2013	6/15/2013	0.803	29	6	Ephem
2013	AMMA	112-B	112	6/15/2013	6/15/2013	0.589	28	36	Ephem
2013	AMMA	101-C	101	6/15/2013	6/15/2013	0.838	31	18	Perm
2013	AMMA	100-C	100	6/15/2013	6/15/2013	0.739	27	36	Perm
2013	AMMA	117	117	6/17/2013	6/17/2013	1.266	33	18	Perm
2013	AMMA	114-B	114	6/17/2013	6/17/2013	1.086	29	6	Perm
2013	AMMA	111-A	111	6/17/2013	6/17/2013	1.085	31	6	Perm
2013	AMMA	105-A	105	6/17/2013	6/17/2013	1.083	31	6	Ephem
2013	AMMA	111-B	111	6/17/2013	6/17/2013	1.166	30	6	Perm
2013	AMMA	114-A	114	6/17/2013	6/17/2013	0.89	29	6	Perm
2013	AMMA	112-C	112	6/17/2013	6/17/2013	0.747	28	36	Ephem
2013	AMMA	112-B	112	6/17/2013	6/17/2013	0.578	26	36	Ephem
2013	AMMA	112-A	112	6/17/2013	6/17/2013	0.627	28	36	Ephem
2013	AMMA	112-D	112	6/17/2013	6/17/2013	0.632	27	36	Ephem
2013	AMMA	115-A	115	6/17/2013	6/17/2013	0.856	32	18	Perm
2013	AMMA	115-B	115	6/17/2013	6/17/2013	1.008	31	18	Perm
2013	AMMA	103	103	6/17/2013	6/17/2013	0.468	25	36	Perm
2013	AMMA	105-B	105	6/17/2013	6/17/2013	1.154	32	6	Ephem
2013	AMMA	106	106	6/17/2013	6/17/2013	0.823	30	18	Ephem
2013	AMMA	105-B	105	6/19/2013	6/19/2013	1.387	33	NA	NA
2013	AMMA	115	115	6/19/2013	6/19/2013	0.956	31	18	Perm
2013	AMMA	110	110	6/19/2013	6/19/2013	1.027	30	6	Ephem
2013	AMMA	111	111	6/19/2013	6/19/2013	1.144	30	6	Perm
2013	AMMA	105-A	105	6/19/2013	6/19/2013	1.232	32	6	Ephem
2013	AMMA	100-B	100	6/19/2013	6/19/2013	0.614	28	36	Perm
2013	AMMA	100-C	100	6/19/2013	6/19/2013	0.802	28	36	Perm
2013	AMMA	100-D	100	6/19/2013	6/19/2013	0.706	27	36	Perm
2013	AMMA	100-A	100	6/19/2013	6/19/2013	0.642	29	36	Perm
2013	AMMA	117	117	6/19/2013	6/19/2013	1.169	31	18	Perm
2013	AMMA	109	109	6/19/2013	6/19/2013	0.873	31	18	Ephem
2013	AMMA	112-A	112	6/19/2013	6/19/2013	0.677	25	36	Ephem
2013	AMMA	112-C	112	6/19/2013	6/19/2013	0.602	25	36	Ephem
2013	AMMA	112-B	112	6/19/2013	6/19/2013	0.639	27	36	Ephem
2013	AMMA	109	109	6/21/2013	6/21/2013	0.912	29	18	Ephem
2013	AMMA	110	110	6/21/2013	6/21/2013	1.179	30	6	Ephem
2013	AMMA	103	103	6/21/2013	6/21/2013	0.587	27	36	Perm
2013	AMMA	108-A	108	6/21/2013	6/21/2013	1.463	32	36	Ephem
2013	AMMA	108-B	108	6/21/2013	6/21/2013	1.154	30	36	Ephem
2013	AMMA	112-A	112	6/21/2013	6/21/2013	0.638	25	36	Ephem
2013	AMMA	112-B	112	6/21/2013	6/21/2013	0.702	25	36	Ephem
2013	AMMA	112-C	112	6/21/2013	6/21/2013	0.534	24	36	Ephem
2013	AMMA	112-D	112	6/21/2013	6/21/2013	0.611	27	36	Ephem
2013	AMMA	106-B	106	6/21/2013	6/21/2013	0.882	29	18	Ephem
2013	AMMA	106-C	106	6/21/2013	6/21/2013	0.801	29	18	Ephem
2013	AMMA	106-A	106	6/21/2013	6/21/2013	0.853	29	18	Ephem
2013	AMMA	114	114	6/23/2013	6/23/2013	1.34	32	6	Perm
2013	AMMA	110	110	6/23/2013	6/23/2013	1.092	31	6	Ephem
2013	AMMA	116	116	6/23/2013	6/23/2013	1.251	31	6	Perm
2013	AMMA	105	105	6/23/2013	6/23/2013	1.424	30	6	Ephem
2013	AMMA	115	115	6/23/2013	6/23/2013	0.792	29	18	Perm
2013	AMMA	101-A	101	6/23/2013	6/23/2013	0.924	30	18	Perm
2013	AMMA	112-A	112	6/23/2013	6/23/2013	0.736	29	36	Ephem
2013	AMMA	108-A	108	6/23/2013	6/23/2013	0.508	25	36	Ephem
2013	AMMA	109-A	109	6/23/2013	6/23/2013	1.027	30	18	Ephem
2013	AMMA	117-A	117	6/23/2013	6/23/2013	1.402	33	18	Perm
2013	AMMA	117-B	117	6/23/2013	6/23/2013	1.072	33	18	Perm
2013	AMMA	109-B	109	6/23/2013	6/23/2013	1.093	32	18	Ephem
2013	AMMA	108-B	108	6/23/2013	6/23/2013	0.484	24	36	Ephem
2013	AMMA	108-C	108	6/23/2013	6/23/2013	0.451	23	18	Ephem
2013	AMMA	104-E	104	6/23/2013	6/23/2013	0.477	26	6	Perm
2013	AMMA	108-D	108	6/23/2013	6/23/2013	0.545	25	36	Ephem
2013	AMMA	101-B	101	6/23/2013	6/23/2013	0.976	30	18	Perm
2013	AMMA	112-B	112	6/23/2013	6/23/2013	0.683	28	36	Ephem
2013	AMMA	100-A	100	6/23/2013	6/23/2013	0.747	29	36	Perm
2013	AMMA	100-B	100	6/23/2013	6/23/2013	0.714	27	36	Perm
2013	AMMA	100-C	100	6/23/2013	6/23/2013	0.668	29	36	Perm
2013	AMMA	103-A	103	6/23/2013	6/23/2013	0.586	29	36	Perm
2013	AMMA	103-B	103	6/23/2013	6/23/2013	0.639	28	36	Perm
2013	AMMA	103-C	103	6/23/2013	6/23/2013	0.674	25	36	Perm
2013	AMMA	106-A	106	6/23/2013	6/23/2013	1.028	30	18	Ephem
2013	AMMA	106-B	106	6/23/2013	6/23/2013	0.918	30	18	Ephem
2013	AMMA	106-C	106	6/23/2013	6/23/2013	0.924	30	18	Ephem
2013	AMMA	101-A	101	6/25/2013	6/25/2013	0.814	30	18	Perm
2013	AMMA	110	110	6/25/2013	6/25/2013	1.26	30	6	Ephem
2013	AMMA	101-B	101	6/25/2013	6/25/2013	1.281	31	18	Perm
2013	AMMA	117-B	117	6/25/2013	6/25/2013	0.982	30	18	Perm
2013	AMMA	117-A	117	6/25/2013	6/25/2013	1.107	31	18	Perm
2013	AMMA	102	102	6/25/2013	6/25/2013	1.544	39	6	Ephem
2013	AMMA	112	112	6/25/2013	6/25/2013	0.72	28	36	Ephem
2013	AMMA	118	118	6/25/2013	6/25/2013	0.978	31	6	Ephem
2013	AMMA	108-A	108	6/25/2013	6/25/2013	0.53	25	36	Ephem
2013	AMMA	109-B	109	6/25/2013	6/25/2013	1.178	32	18	Ephem
2013	AMMA	107	107	6/25/2013	6/25/2013	1.284	35	6	Perm
2013	AMMA	108-B	108	6/25/2013	6/25/2013	0.531	25	36	Ephem
2013	AMMA	106	106	6/25/2013	6/25/2013	0.865	31	18	Ephem
2013	AMMA	109-A	109	6/25/2013	6/25/2013	0.873	29	18	Ephem
2013	AMMA	100-D	100	6/25/2013	6/25/2013	0.77	28	36	Perm
2013	AMMA	100-B	100	6/25/2013	6/25/2013	0.81	30	36	Perm
2013	AMMA	100-C	100	6/25/2013	6/25/2013	0.755	28	36	Perm
2013	AMMA	100-E	100	6/25/2013	6/25/2013	0.823	28	36	Perm
2013	AMMA	100-A	100	6/25/2013	6/25/2013	0.711	27	36	Perm
2013	AMMA	114	114	6/27/2013	6/27/2013	NA	NA	6	Perm
2013	AMMA	100	100	6/27/2013	6/27/2013	NA	NA	36	Perm
2013	AMMA	108	108	6/27/2013	6/27/2013	0.569	30	36	Ephem
2013	AMMA	109-A	109	6/27/2013	6/27/2013	1.057	34	18	Ephem
2013	AMMA	109-B	109	6/27/2013	6/27/2013	1.091	35	18	Ephem
2013	AMMA	101-A	101	6/27/2013	6/27/2013	1.058	36	18	Perm
2013	AMMA	111	111	6/27/2013	6/27/2013	1.247	36	6	Perm
2013	AMMA	100-A	100	6/27/2013	6/27/2013	0.9	32	36	Perm
2013	AMMA	112-A	112	6/27/2013	6/27/2013	0.738	30	36	Ephem
2013	AMMA	101-B	101	6/27/2013	6/27/2013	1.386	38	18	Perm
2013	AMMA	112-B	112	6/27/2013	6/27/2013	0.765	34	36	Ephem
2013	AMMA	106-C	106	6/27/2013	6/27/2013	1.184	36	18	Ephem
2013	AMMA	113-A	113	6/27/2013	6/27/2013	0.915	33	6	Ephem
2013	AMMA	113-B	113	6/27/2013	6/27/2013	1.179	34	6	Ephem
2013	AMMA	115-BA	115	6/27/2013	6/27/2013	1.146	34	18	Perm
2013	AMMA	107-B	107	6/27/2013	6/27/2013	1.642	39	6	Perm
2013	AMMA	117-C	117	6/27/2013	6/27/2013	1.191	34	18	Perm
2013	AMMA	117-B	117	6/27/2013	6/27/2013	1.18	32	18	Perm
2013	AMMA	106-B	106	6/27/2013	6/27/2013	1.081	33	18	Ephem
2013	AMMA	118	118	6/27/2013	6/27/2013	0.847	33	6	Ephem
2013	AMMA	115-B	115	6/27/2013	6/27/2013	1.1	34	18	Perm
2013	AMMA	107-A	107	6/27/2013	6/27/2013	1.202	35	6	Perm
2013	AMMA	103-A	103	6/27/2013	6/27/2013	0.603	29	36	Perm
2013	AMMA	117-A	117	6/27/2013	6/27/2013	1.227	36	18	Perm
2013	AMMA	106-A	106	6/27/2013	6/27/2013	0.985	34	18	Ephem
2013	AMMA	106-A	106	6/29/2013	6/29/2013	1.004	33	18	Ephem
2013	AMMA	102-B	102	6/29/2013	6/29/2013	1.464	32	6	Ephem
2013	AMMA	102-A	102	6/29/2013	6/29/2013	1.944	37	6	Ephem
2013	AMMA	118	118	6/29/2013	6/29/2013	0.938	30	6	Ephem
2013	AMMA	106-B	106	6/29/2013	6/29/2013	0.97	29	18	Ephem
2013	AMMA	103-B	103	6/29/2013	6/29/2013	0.614	27	36	Perm
2013	AMMA	103-A	103	6/29/2013	6/29/2013	0.527	25	36	Perm
2013	AMMA	104-A	104	6/29/2013	6/29/2013	1.698	31	6	Perm
2013	AMMA	104-B	104	6/29/2013	6/29/2013	1.588	36	6	Perm
2013	AMMA	100-B	100	6/29/2013	6/29/2013	0.885	28	36	Perm
2013	AMMA	100-C	100	6/29/2013	6/29/2013	0.856	30	36	Perm
2013	AMMA	100-A	100	6/29/2013	6/29/2013	0.848	29	36	Perm
2013	AMMA	112	112	6/29/2013	6/29/2013	0.664	26	36	Ephem
2013	AMMA	119	119	6/29/2013	6/29/2013	1.467	35	6	Perm
2013	AMMA	100-B	100	6/29/2013	6/29/2013	0.889	29	36	Perm
2013	AMMA	109-D	109	6/29/2013	6/29/2013	NA	NA	18	Ephem
2013	AMMA	112-A	112	7/1/2013	7/1/2013	0.781	30	36	Ephem
2013	AMMA	112-B	112	7/1/2013	7/1/2013	0.821	28	36	Ephem
2013	AMMA	102	102	7/1/2013	7/1/2013	1.655	36	6	Ephem
2013	AMMA	109	109	7/1/2013	7/1/2013	1.255	30	18	Ephem
2013	AMMA	108	108	7/1/2013	7/1/2013	0.475	28	36	Ephem
2013	AMMA	110	110	7/3/2013	7/3/2013	1.047	29	6	Ephem
2013	AMMA	115	115	7/3/2013	7/3/2013	1.787	36	18	Perm
2013	AMMA	108-A	108	7/3/2013	7/3/2013	0.83	29	36	Ephem
2013	AMMA	108-B	108	7/3/2013	7/3/2013	0.665	27	36	Ephem
2013	AMMA	108-C	108	7/3/2013	7/3/2013	0.748	27	36	Ephem
2013	AMMA	108	108	7/5/2013	7/5/2013	0.655	26	36	Ephem
2013	AMMA	100	100	7/5/2013	7/5/2013	0.991	28	36	Perm
2013	AMMA	101	101	7/5/2013	7/5/2013	1.572	32	18	Perm
2013	AMMA	116	116	7/5/2013	7/5/2013	1.733	36	6	Perm
