Vial,ID,Date,Pic.Date,Pic.Time.Orig,Pic.Num,Species,Pic.Time
1,3A-A,5/24/2013,6/29/2013,10:08,1,AMAN,09:08
2,23-A,5/24/2013,6/29/2013,10:11,1,AMAN,09:11
3,5A-B,5/24/2013,6/29/2013,10:13,1,AMAN,09:13
4,8A-A,5/24/2013,6/29/2013,10:18,1,AMAN,09:18
5,5A-A,5/24/2013,6/29/2013,10:20,1,AMAN,09:20
6,18A-A,5/24/2013,6/29/2013,10:21,1,AMAN,09:21
7,6A-A,5/24/2013,6/29/2013,10:23,1,AMAN,09:23
8,1A,5/17/2013,6/29/2013,10:25,1,AMAN,09:25
9,5A,5/22/2013,6/29/2013,10:26,1,AMAN,09:26
10,17A,5/22/2013,6/29/2013,10:43,1,AMAN,09:43
11,18A-A,5/21/2013,6/29/2013,10:45,1,AMAN,09:45
12,8A-A,5/21/2013,6/29/2013,10:47,1,AMAN,09:47
13,7A-B,5/26/2013,6/29/2013,10:49,1,AMAN,09:49
14,1A-A,5/21/2013,6/29/2013,10:51,1,AMAN,09:51
15,17A-A,5/21/2013,6/29/2013,10:53,1,AMAN,09:53
16,6A-E,5/26/2013,6/29/2013,11:03,1,AMAN,10:03
17,1A-B,5/26/2013,6/29/2013,11:04,1,AMAN,10:04
18,3A-G,5/26/2013,6/29/2013,11:06,1,AMAN,10:06
19,1A-A,5/26/2013,6/29/2013,11:07,1,AMAN,10:07
20,3A-D,5/26/2013,6/29/2013,11:10,1,AMAN,10:10
21,6A-A,5/26/2013,6/29/2013,11:11,1,AMAN,10:11
22,3A-C,5/26/2013,6/29/2013,11:13,1,AMAN,10:13
23,5A,5/26/2013,6/29/2013,11:15,1,AMAN,10:15
24,8A-D,5/26/2013,6/29/2013,11:17,1,AMAN,10:17
25,6A-B,5/26/2013,6/29/2013,11:30,1,AMAN,10:30
26,1A-I,5/26/2013,6/29/2013,11:31,1,AMAN,10:31
27,7A-A,5/26/2013,6/29/2013,11:33,1,AMAN,10:33
28,3A-B,5/26/2013,6/29/2013,11:35,1,AMAN,10:35
29,17A-A,5/26/2013,6/29/2013,11:37,1,AMAN,10:37
30,18A,5/26/2013,6/29/2013,11:39,1,AMAN,10:39
31,5A-C,5/26/2013,6/29/2013,11:57,1,AMAN,10:57
32,17A-B,5/26/2013,6/29/2013,12:04,1,AMAN,11:04
33,8A-A,5/26/2013,6/29/2013,12:05,1,AMAN,11:05
34,17A-B,5/26/2013,6/29/2013,12:07,1,AMAN,11:07
35,5A-B,5/26/2013,6/29/2013,12:08,1,AMAN,11:08
36,3A-A,5/26/2013,6/29/2013,12:09,1,AMAN,11:09
37,8A-E,5/26/2013,6/29/2013,12:11,1,AMAN,11:11
38,17A-C,5/26/2013,6/29/2013,12:12,1,AMAN,11:12
39,17A-A,5/26/2013,6/29/2013,12:13,1,AMAN,11:13
40,19A,5/26/2013,6/29/2013,12:15,1,AMAN,11:15
41,8A-C,5/26/2013,6/29/2013,12:16,1,AMAN,11:16
42,8A-F,5/26/2013,6/29/2013,12:18,1,AMAN,11:18
43,4A-A,5/26/2013,6/29/2013,12:22,1,AMAN,11:22
44,20A-A,5/26/2013,6/29/2013,12:23,1,AMAN,11:23
45,5A-A,5/26/2013,6/29/2013,12:24,1,AMAN,11:24
46,12A-D,6/9/2013,6/29/2013,12:53,1,AMAN,11:53
47,20A-D,6/5/2013,6/29/2013,12:57,1,AMAN,11:57
48,20A-A,6/5/2013,6/29/2013,12:59,1,AMAN,11:59
49,15A-H,6/9/2013,6/29/2013,13:01,1,AMAN,12:01
50,2A-H,6/9/2013,6/29/2013,13:05,1,AMAN,12:05
51,9A-B,6/9/2013,6/29/2013,13:03,1,AMAN,12:03
52,4A-C,5/26/2013,6/29/2013,13:07,1,AMAN,12:07
53,13A-A,6/9/2013,6/29/2013,13:08,1,AMAN,12:08
54,10A-A,6/9/2013,6/29/2013,13:10,1,AMAN,12:10
55,4A-B,5/26/2013,6/29/2013,13:12,1,AMAN,12:12
56,8,5/26/2013,6/29/2013,13:14,1,AMAN,12:14
57,27,5/28/2013,6/29/2013,13:15,1,AMAN,12:15
58,17A-D,5/26/2013,6/29/2013,13:17,1,AMAN,12:17
59,1A,5/26/2013,6/29/2013,13:18,1,AMAN,12:18
60,16A,6/11/2013,6/29/2013,13:20,1,AMAN,12:20
61,19A-A,5/28/2013,6/29/2013,13:47,1,AMAN,12:47
62,15A-G,6/9/2013,6/29/2013,13:49,1,AMAN,12:49
63,2A-F,6/9/2013,6/29/2013,13:51,1,AMAN,12:51
64,9A-A,5/28/2013,6/29/2013,13:53,1,AMAN,12:53
65,19A-B,6/9/2013,6/29/2013,13:55,1,AMAN,12:55
66,12A-A,6/9/2013,6/29/2013,13:57,1,AMAN,12:57
67,8-A,5/28/2013,6/29/2013,13:59,1,AMAN,12:59
68,6A-B,5/28/2013,6/29/2013,14:01,1,AMAN,13:01
69,8A-C,5/28/2013,6/29/2013,14:03,1,AMAN,13:03
70,4-C,5/28/2013,6/29/2013,14:09,1,AMAN,13:09
71,4-B,5/28/2013,6/29/2013,14:11,1,AMAN,13:11
72,3A-B,5/28/2013,6/29/2013,14:16,1,AMAN,13:16
73,6A-B,5/28/2013,6/29/2013,14:18,1,AMAN,13:18
74,18A-B,5/28/2013,6/29/2013,14:20,1,AMAN,13:20
75,27,5/28/2013,6/29/2013,14:21,1,AMAN,13:21
76,18,5/28/2013,6/29/2013,14:38,1,AMAN,13:38
77,2A-B,6/9/2013,6/29/2013,14:40,1,AMAN,13:40
78,2A-A,6/9/2013,6/29/2013,14:41,1,AMAN,13:41
79,13A-C,6/7/2013,6/29/2013,14:43,1,AMAN,13:43
80,13A-F,6/5/2013,6/29/2013,14:45,1,AMAN,13:45
81,13A-E,6/5/2013,6/29/2013,14:46,1,AMAN,13:46
82,13A-A,6/7/2013,6/29/2013,14:51,1,AMAN,13:51
83,13A-B,6/7/2013,6/29/2013,14:53,1,AMAN,13:53
84,12A-B,6/5/2013,6/29/2013,14:54,1,AMAN,13:54
85,12A-A,6/5/2013,6/29/2013,14:56,1,AMAN,13:56
86,13A-C,6/5/2013,6/29/2013,14:58,1,AMAN,13:58
87,2A-E,6/5/2013,6/29/2013,15:00,1,AMAN,14:00
88,13A-B,6/5/2013,6/29/2013,15:02,1,AMAN,14:02
89,13A-D,6/5/2013,6/29/2013,15:04,1,AMAN,14:04
90,13A-G,6/3/2013,6/29/2013,15:05,1,AMAN,14:05
91,6-B,6/7/2013,6/29/2013,15:34,1,AMAN,14:34
92,38-B,6/7/2013,6/29/2013,15:36,1,AMAN,14:36
93,35-D,6/7/2013,6/29/2013,15:37,1,AMAN,14:37
94,35,6/7/2013,6/29/2013,15:38,1,AMAN,14:38
95,13-B,6/7/2013,6/29/2013,15:41,1,AMAN,14:41
96,4,6/7/2013,6/29/2013,15:42,1,AMAN,14:42
97,13-A,6/7/2013,6/29/2013,15:43,1,AMAN,14:43
98,2A-C,6/5/2013,6/29/2013,15:46,1,AMAN,14:46
99,9A-B,6/5/2013,6/29/2013,15:47,1,AMAN,14:47
100,15A-A,6/7/2013,6/29/2013,15:49,1,AMAN,14:49
101,12A-A,6/7/2013,6/29/2013,15:51,1,AMAN,14:51
102,2A-F,6/5/2013,6/29/2013,15:53,1,AMAN,14:53
103,35-C,6/7/2013,6/29/2013,15:55,1,AMAN,14:55
104,10A,6/7/2013,6/29/2013,15:57,1,AMAN,14:57
105,2A-D,6/5/2013,6/29/2013,15:58,1,AMAN,14:58
106,9A-A,6/5/2013,6/29/2013,16:15,1,AMAN,15:15
107,10A-A,6/5/2013,6/29/2013,16:17,1,AMAN,15:17
108,35-A,6/7/2013,6/29/2013,16:18,1,AMAN,15:18
109,13,6/7/2013,6/29/2013,16:20,1,AMAN,15:20
110,35-B,6/7/2013,6/29/2013,16:21,1,AMAN,15:21
111,6-A,6/7/2013,6/29/2013,16:23,1,AMAN,15:23
112,9-B,6/5/2013,6/29/2013,16:26,1,AMAN,15:26
113,9-C,6/5/2013,6/29/2013,16:28,1,AMAN,15:28
114,2A-B,6/5/2013,6/29/2013,16:29,1,AMAN,15:29
115,2A-A,6/5/2013,6/29/2013,16:31,1,AMAN,15:31
116,46-B,6/5/2013,6/29/2013,16:33,1,AMAN,15:33
117,13A-D,6/7/2013,6/29/2013,16:35,1,AMAN,15:35
118,2A,6/7/2013,6/29/2013,16:36,1,AMAN,15:36
119,15A-B,6/9/2013,6/29/2013,16:37,1,AMAN,15:37
120,25,6/7/2013,6/29/2013,16:39,1,AMAN,15:39
121,13A,6/5/2013,6/29/2013,16:47,1,AMAN,15:47
