ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
1A,5/17/2013,6/29/2013,09:25,5.903,4.3,5.762,4.286,2.842,4.694,2.638,4.362,12.326,7.052,23.243,7.579,34.423,3.593,1
1A,5/26/2013,6/29/2013,12:18,4.942,3.964,4.544,3.338,3.137,3.439,3.059,3.697,11.285,7.717,22.178,7.004,32.494,3.388,1
1A-A,5/21/2013,6/29/2013,09:51,4.541,4.229,4.885,4.049,2.214,3.624,2.978,4.041,11.848,6.334,20.947,6.311,24.119,2.378,1
1A-A,5/26/2013,6/29/2013,09:51,3.974,4.792,3.472,4.012,3.163,5.253,3.307,4.773,10.971,6.94,19.095,6.605,26.17,2.666,1
1A-B,5/26/2013,6/29/2013,10:04,4.089,4.274,4.415,4.349,2.616,4.785,2.591,4.812,11.491,7.431,19.225,7.475,29.185,3.386,1
1A-I,5/26/2013,6/29/2013,10:31,4.799,4.05,4.406,4.201,2.902,4.717,3,4.324,12.861,7.448,21.44,6.568,34.381,3.594,1
2-A,5/30/2013,6/29/2013,15:52,4.755,4.186,4.701,4.683,2.981,4.455,2.993,4.509,12.515,8.223,22.557,11.127,36.491,4.592,1
2A,6/7/2013,6/29/2013,15:36,4.164,3.886,4.028,3.529,2.54,3.171,2.522,3.873,10.799,6.951,19.445,6.237,30.544,3.182,1
2A-A,6/5/2013,6/29/2013,15:31,3.877,3.575,3.869,3.487,2.392,2.799,2.593,3.105,10.895,7.157,18.888,8.18,28.483,3.503,1
2A-A,6/9/2013,6/29/2013,13:41,4.103,3.457,3.803,3.87,3.077,3.691,2.789,3.685,10.498,6.842,19.828,6.259,27.889,3.185,1
2A-B,6/5/2013,6/29/2013,15:29,3.591,3.737,3.91,3.528,2.652,3.363,2.378,3.418,11.014,6.762,18.356,6.823,27.16,3.119,1
