ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
2A,6/13/2013,6/30/2013,00:21,3.866,4.339,3.701,4.4,2.453,4.115,2.567,4.631,12.022,7.049,19.502,7.185,27.581,4.704,1
2A,6/17/2013,6/30/2013,08:39,3.429,4.141,3.59,4.626,2.763,5.009,2.632,4.379,11.526,6.86,19.894,8.032,29.155,4.141,1
2A,6/21/2013,6/30/2013,08:26,3.999,4.138,3.913,4.535,2.33,5.248,2.953,5.049,12.167,7.039,21.203,6.992,31.033,4.409,1
2-C,5/30/2013,6/29/2013,20:24,4.56,5.879,4.367,5.721,5.174,2.542,2.641,6.538,15.339,8.412,27.466,9.771,45.932,6.546,1
4,6/13/2013,6/30/2013,09:30,3.539,4.039,3.596,4.436,2.541,4.524,1.967,4.526,11.502,6.768,17.877,6.034,26.105,4.044,1
4,6/17/2013,6/30/2013,09:27,3.25,4.375,3.254,4.369,2.277,4.783,2.401,4.52,12.122,7.107,20.964,7.149,32.609,4.817,1
4,6/19/2013,6/30/2013,08:27,3.626,4.374,4.05,4.174,2.486,5.193,2.415,5.061,11.675,7.305,20.65,7.619,31.102,4.714,1
4-A,6/11/2013,6/29/2013,23:39,3.09,3.787,3.922,3.879,2.409,4.166,2.166,5.124,10.508,6.955,17.948,6.124,21.234,3.634,1
4-A,6/21/2013,6/30/2013,08:31,3.621,3.787,3.543,3.931,2.385,5.121,2.32,4.767,11.33,7.101,20.032,6.745,29.909,4.854,1
4-B,6/11/2013,6/29/2013,22:37,3.413,3.627,3.13,3.477,2.692,3.767,1.826,3.716,10.051,6.74,17.787,6.066,23.166,3.182,1
4-B,6/21/2013,6/30/2013,08:29,3.298,3.947,3.344,3.997,2.715,4.375,2.396,4.155,11.602,7.067,18.311,6.91,28.576,4.537,1
4-C,6/11/2013,6/29/2013,23:37,3.132,3.763,3.078,3.811,2.43,3.927,2.257,4.963,11.117,7.047,18.415,6.216,27.299,4.202,1
4-D,6/11/2013,6/29/2013,23:42,2.909,3.756,3.473,4.224,2.368,4.495,2.14,4.421,10.531,6.87,17.794,6.364,23.31,4.054,1
5A,6/5/2013,6/29/2013,20:55,4.392,4.989,4.007,4.943,2.812,5.382,2.387,4.926,12.995,7.239,23.367,7.682,30.872,4.887,1
5A,6/21/2013,6/30/2013,08:22,3.503,3.873,3.241,4.205,2.326,4.971,2.431,4.939,11.387,7.164,19.042,6.659,30.709,4.375,1
6,6/11/2013,6/29/2013,22:21,3.904,4.629,4.039,4.364,2.611,5.223,3.201,5.192,12.14,7.634,20.454,7.438,30.178,5.063,1
6,6/19/2013,6/30/2013,00:24,3.508,4.357,3.697,4.174,2.746,4.341,2.504,5.23,11.82,7.154,20.333,7.21,29.789,4.482,1
6-A,6/9/2013,6/29/2013,21:43,3.398,4.604,3.37,4.677,3.017,4.989,2.953,4.6,12.286,7.37,21.176,8.394,30.246,4.877,1
6-A,6/11/2013,6/29/2013,22:38,4.072,4.959,4.172,4.631,2.543,4.895,2.154,5.136,12.174,7.206,21.312,8.723,32.683,4.875,1
6A,6/15/2013,6/29/2013,23:26,,,,,,,,,,,,,,,1
6A,6/15/2013,6/30/2013,00:53,,,,,,,,,,,,,,,1
6A,6/21/2013,6/30/2013,08:21,,,,,,,,,,,,,,,1
6B,6/9/2013,6/29/2013,20:52,3.364,4.749,3.972,4.059,2.7,5.353,2.755,4.786,11.826,7.017,20.555,7.189,29.888,4.607,1
6B,6/13/2013,6/30/2013,09:06,4.225,3.839,3.647,4.11,2.899,3.253,2.497,4.964,11.867,7.086,19.161,7.772,29.878,4.916,1
6B,6/15/2013,6/30/2013,09:23,3.788,4.268,3.905,4.243,2.565,5.004,2.176,4.561,12.142,6.874,19.711,6.644,29.857,4.666,1
6B,6/21/2013,6/30/2013,08:38,3.207,3.527,3.444,3.572,2.137,4.18,2.282,4.18,11.126,6.992,18.51,6.293,26.581,4.273,1
6C,6/9/2013,6/29/2013,22:20,3.788,4.6,4.067,4.453,2.385,3.659,2.488,5.175,12.527,7.417,20.569,7.696,29.378,4.836,1
6C,6/15/2013,6/30/2013,09:55,3.878,4.278,3.787,3.952,2.526,4.682,2.519,4.981,11.623,7.664,21.131,8.104,31.905,5.089,1
6D,6/15/2013,6/30/2013,09:19,3.938,3.908,3.534,4.235,2.681,4.544,2.624,4.831,11.822,7.148,20.247,6.874,28.757,4.758,1
7A,6/5/2013,6/29/2013,20:53,3.896,4.569,4.253,3.438,2.62,5.158,3.13,4.725,11.83,6.915,21.836,6.987,30.15,4.619,1
8A,5/30/2013,6/29/2013,20:26,3.568,4.98,4.325,4.538,3.162,5.862,2.274,5.653,14.808,8.592,26.579,9.83,43.44,6.749,1
9E,6/5/2013,6/29/2013,20:23,4.574,5.092,3.827,5.188,3.168,5.413,2.945,5.085,13.362,7.889,20.933,7.568,29.58,4.859,1
9G,6/5/2013,6/29/2013,20:21,3.801,4.675,4.184,4.53,2.727,4.901,3.087,4.877,12.563,7.649,21.845,8.484,33.191,4.415,1
10A-A,6/19/2013,6/30/2013,09:49,4.061,4.616,4.219,3.775,2.935,4.936,2.624,4.466,11.636,7.483,20.298,6.433,27.388,4.543,1
10A-B,6/19/2013,6/30/2013,00:09,3.318,3.803,3.358,4.151,2.259,3.92,2.085,3.945,11.565,6.768,19.049,6.907,27.535,4.435,1
11,6/14/2013,6/30/2013,00:57,3.453,3.752,3.532,4.061,2.446,5.158,2.392,4.96,12.684,7.298,19.908,7.576,30.071,4.808,1
12,6/17/2013,6/30/2013,00:13,4.381,2.716,3.863,3.111,4.453,3.257,3.998,4.028,13.03,7.859,22.784,7.272,33.095,5.828,1
12A,6/11/2013,6/29/2013,20:28,3.38,3.239,3.736,3.627,2.609,4.161,2.759,3.393,10.975,6.835,17.642,5.735,25.048,3.797,1
12A,6/19/2013,6/30/2013,08:32,3.377,3.301,3.378,3.691,2.467,4.118,2.501,4.728,11.112,6.981,18.391,5.771,28.028,4.234,1
12A-A,6/13/2013,6/30/2013,01:00,3.365,3.585,3.759,4.31,2.979,4.526,2.735,4.538,10.852,6.907,19.138,6.526,26.125,4.31,1
12A-B,6/13/2013,6/30/2013,00:59,3.976,3.813,3.643,4.284,3.063,4.464,2.6,4.152,11.698,7.018,19.85,7.113,27.164,5.132,1
