ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
P1030566.JPG,,7/18/2013,07:37,3.3991,3.9724,3.9196,4.2465,2.2883,4.2239,2.1998,4.4469,10.3942,6.9889,21.8336,7.8502,24.9361,4.3478,1
P1030567.JPG,,7/18/2013,07:39,3.5446,3.9187,3.4497,3.5865,2.51,4.6299,2.6365,3.9097,10.7553,6.7716,20.0272,7.0263,25.0752,3.8924,1
P1030568.JPG,,7/18/2013,07:40,3.6098,3.7138,3.6394,3.931,2.7461,3.7526,3.1527,3.9016,10.6219,6.7074,20.7598,6.4834,23.085,4.2083,1
P1030569.JPG,,7/18/2013,07:41,4.38,3.6397,3.4873,4.4535,2.7236,4.6798,2.5669,4.8267,11.083,7.1158,23.1484,8.0538,25.6574,4.9825,1
P1030570.JPG,,7/18/2013,07:44,3.6561,3.7652,3.0634,3.4894,2.4374,3.2772,2.4296,3.8978,10.4244,6.7337,18.3986,5.6305,12.2623,3.8352,1
P1030571.JPG,,7/18/2013,07:58,3.4294,3.7929,3.7841,3.6661,2.3933,3.651,2.0998,3.615,10.3251,6.5613,19.0953,7.0483,23.2477,3.8506,1
P1030572.JPG,,7/18/2013,08:00,3.6288,4.3736,3.9067,4.2876,2.8379,3.7132,2.702,4.1752,10.5815,6.8769,21.0031,6.8,24.2523,4.4796,1
P1030573.JPG,,7/18/2013,08:01,3.4954,4.3172,3.934,4.252,2.7037,4.4042,2.7754,3.4825,10.3923,6.9044,22.1082,6.8345,26.3422,4.0696,1
P1030574.JPG,,7/18/2013,08:02,3.3887,3.6208,3.6613,3.8439,2.4076,5.0324,2.2711,3.8393,11.8686,7.2909,22.1237,7.6279,32.7921,4.9436,1
P1030575.JPG,,7/18/2013,08:04,3.5726,3.7402,3.9494,3.9833,2.3807,4.4528,2.6047,4.3156,10.379,6.6633,20.5014,6.5799,22.7793,3.9982,1
P1030576.JPG,,7/18/2013,08:22,4.1732,4.2106,3.9616,4.5082,2.9383,4.6007,2.9106,4.5617,11.4188,7.606,22.4801,7.8299,27.9079,3.6146,1
P1030577.JPG,,7/18/2013,08:23,3.612,4.3513,4.0404,3.9524,2.6527,3.6498,2.6854,4.3479,9.9329,6.7873,20.6612,7.0069,26.6754,4.0991,1
P1030578.JPG,,7/18/2013,08:24,3.3983,3.7151,3.3997,3.5832,2.3954,4.5744,2.9459,4.0179,9.4378,6.6674,19.6105,7.3534,27.2202,4.084,1
P1030579.JPG,,7/18/2013,08:25,3.3883,3.7516,3.5554,4.08,2.6438,3.3186,2.409,4.0026,10.9397,7.1247,20.3256,7.1274,27.3387,4.21,1
P1030580.JPG,,7/18/2013,08:26,4.0319,3.518,3.8836,4.2294,2.7119,4.7357,3.4468,4.9284,10.3112,7.1668,20.2068,8.1186,25.5249,4.5697,1
P1030581.JPG,,7/18/2013,08:27,3.3237,2.7015,3.3331,3.0639,1.9765,4.0044,2.238,3.7339,9.2802,6.3054,21.3807,8.7929,26.6452,4.6343,1
P1030582.JPG,,7/18/2013,08:28,3.184,3.8089,3.725,4.3048,2.7116,3.9043,2.7768,3.4738,11.3403,7.0599,22.7231,7.9568,30.4713,4.8952,1
P1030583.JPG,,7/18/2013,08:29,3.1063,3.3984,3.365,3.7832,2.626,4.5801,2.6888,3.1566,11.1675,6.738,22.1857,7.469,30.0319,4.9267,1
P1030584.JPG,,7/18/2013,08:31,3.5436,3.2472,3.3987,3.2578,2.6587,3.9362,1.8,3.8668,9.5759,6.6126,20.6929,7.8842,23.9032,4.3407,1
P1030585.JPG,,7/18/2013,08:32,4.0353,4.2636,3.8133,4.8418,2.6164,5.1765,2.3286,4.4439,11.1731,7.0973,23.6032,9.462,32.28,4.6169,1
P1030586.JPG,,7/18/2013,08:41,3.4154,3.5078,3.144,3.9857,2.7192,4.4854,2.3926,4.4531,10.3757,7.1195,21.5319,6.9339,26.4338,4.1025,1
P1030587.JPG,,7/18/2013,08:42,3.671,4.197,4.0889,3.9968,2.3988,3.9158,2.4965,3.5451,11.0649,7.1787,22.0333,8.3197,24.9553,4.4243,1
P1030588.JPG,,7/18/2013,08:43,3.635,3.7102,3.2314,3.928,2.8274,4.0942,2.4471,4.3244,10.7278,7.185,21.4637,7.9222,26.4721,4.606,1
P1030589.JPG,,7/18/2013,08:44,3.6573,3.7783,3.861,3.8101,1.7898,4.2594,2.6612,3.6176,10.171,6.898,18.5594,6.6872,21.9793,3.632,1
P1030590.JPG,,7/18/2013,08:46,3.4442,3.8587,3.617,3.762,2.6014,3.8039,2.9836,4.1433,10.431,7.1356,22.9182,7.093,30.6461,4.8345,1
P1030591.JPG,,7/18/2013,08:46,3.4296,3.715,3.2967,3.8433,2.5461,4.2028,2.6968,3.6454,11.0451,7.0149,20.2159,7.0627,27.4875,4.586,2
P1030592.JPG,,7/18/2013,08:48,3.328,3.4606,3.5485,3.7124,2.3088,3.8277,2.0231,4.2323,10.1928,6.667,20.0551,7.6912,23.5948,4.1687,1
P1030593.JPG,,7/18/2013,08:49,3.9601,4.0519,3.2806,3.204,2.7327,4.1135,2.6513,4.113,10.4546,6.7449,19.8044,6.6246,23.2625,3.7066,1
P1030594.JPG,,7/18/2013,08:50,2.9723,2.855,3.1385,3.1383,1.9679,2.9924,2.278,3.1207,9.7111,6.0153,17.8315,5.7295,20.2151,3.6353,1
P1030595.JPG,,7/18/2013,08:51,3.2227,3.5141,3.4873,3.2822,2.5962,3.545,2.498,4.1264,9.5836,6.5654,19.495,6.3856,24.0806,3.6629,1
P1030596.JPG,,7/18/2013,09:07,3.3528,3.9387,3.9311,3.3424,2.3109,4.2124,2.5243,3.9516,10.5658,6.89,20.6417,6.365,25.8117,4.0764,1
P1030597.JPG,,7/18/2013,09:09,3.5205,3.8009,4.6594,3.7101,3.0597,4.2317,3.176,4.8358,11.4216,7.2072,22.6478,7.1091,27.1633,4.4769,1
P1030598.JPG,,7/18/2013,09:10,3.9568,4.4167,4.7666,3.2334,3.4298,4.0282,2.9125,3.944,11.8508,7.379,23.1495,7.0785,27.4496,4.5485,1
P1030599.JPG,,7/18/2013,09:11,4.2397,4.5274,4.5699,4.49,2.9266,4.4447,3.0641,5.1001,11.2198,7.4218,23.5256,7.0209,29.4353,4.6718,1
P1030600.JPG,,7/18/2013,09:12,3.9264,4.414,4.3941,4.2158,2.6939,4.5844,2.6146,4.3046,12.3962,7.292,23.6651,8.3993,32.086,5.1747,1
P1030601.JPG,,7/18/2013,09:13,3.7179,3.9114,3.8644,3.8013,2.3751,4.5377,2.8345,4.2397,11.1329,7.3179,22.5571,7.3185,31.32,4.5342,1
P1030602.JPG,,7/18/2013,09:14,3.8945,4.0331,4.0132,2.8627,2.5527,4.3097,2.8536,4.0391,10.3676,6.9792,22.5631,6.8405,24.7229,3.6768,1
P1030603.JPG,,7/18/2013,09:15,3.4601,3.2694,3.8683,3.614,1.9861,4.006,2.7449,3.4699,9.8216,6.6105,17.5907,6.3203,21.7964,3.6176,1
P1030604.JPG,,7/18/2013,09:16,3.4822,3.7631,3.8319,3.3776,2.3696,2.967,2.6093,3.8655,10.5044,6.7242,20.4786,6.3617,27.252,4.0147,1
P1030605.JPG,,7/18/2013,09:17,3.4786,4.2553,3.3642,4.0854,2.308,3.304,3.0702,4.2468,10.7358,6.8133,21.5364,6.4949,27.2857,4.8307,1
P1030606.JPG,,7/18/2013,09:23,3.9363,3.9206,3.902,3.5989,2.4503,4.9493,2.4223,4.737,10.7037,6.9799,21.9865,6.9071,28.6611,4.2826,1
P1030607.JPG,,7/18/2013,09:24,2.886,3.8839,3.8251,3.6093,2.7312,3.7621,2.3663,4.5683,10.0258,6.403,21.1091,6.413,22.6346,3.6334,1
P1030608.JPG,,7/18/2013,09:25,3.5104,4.0912,4.098,4.175,3.1014,3.1649,2.4625,3.7283,10.1457,7.0208,20.7569,7.7124,25.1262,4.348,1
P1030609.JPG,,7/18/2013,09:26,3.5633,3.866,3.6124,3.8388,2.7858,4.4362,3.2351,4.9461,10.2196,7.1861,22.7816,8.0935,31.4251,4.7688,1
P1030610.JPG,,7/18/2013,09:28,3.4312,4.426,4.1416,4.0371,2.7994,4.8651,3.2512,4.0922,11.6037,7.5825,24.1275,8.4332,35.4767,5.263,1
P1030611.JPG,,7/18/2013,09:29,4.3741,3.3145,3.8583,3.7103,2.5368,4.4255,2.5807,4.1595,11.1268,7.2848,21.3646,7.4765,27.2439,3.861,1
P1030612.JPG,,7/18/2013,09:30,3.3276,3.3332,3.248,3.359,2.1798,3.5053,2.2268,3.8508,9.181,6.6221,19.6296,6.769,21.7147,3.864,1
P1030613.JPG,,7/18/2013,09:31,3.538,3.7626,3.769,3.6345,2.8467,3.8782,2.6597,3.9439,11.2223,7.2926,22.0153,7.7209,30.5953,5.0547,1
P1030614.JPG,,7/18/2013,09:32,2.8916,3.4277,3.4426,3.5974,3.144,3.6504,2.5983,3.7834,9.8947,7.0479,19.8701,6.8549,25.7435,4.3395,1
P1030616.JPG,,7/18/2013,09:33,3.8965,3.8677,3.6781,3.7279,3.0277,3.5726,2.5162,3.8849,11.4674,7.1694,22.4727,6.9455,29.9863,4.5119,1
P1030617.JPG,,7/18/2013,09:55,3.82,2.9312,3.2453,3.2844,2.747,3.8389,2.5456,3.7679,10.2255,0,20.6219,0,24.7231,0,1
P1030618.JPG,,7/18/2013,09:56,2.9995,3.5433,3.3416,3.8776,2.081,4.8793,2.2953,3.6109,10.8889,6.5182,20.2944,7.1206,26.568,4.5189,1
P1030619.JPG,,7/18/2013,09:57,3.8947,2.7445,3.5572,3.4996,2.2143,3.4387,2.4545,3.0447,9.5806,6.1595,17.1724,5.6342,19.5464,3.616,1
P1030620.JPG,,7/18/2013,09:58,3.712,3.6242,3.6511,3.4342,3.2322,3.7429,2.5515,3.9051,10.6019,6.5206,19.9567,6.1248,23.8515,3.6512,1
P1030621.JPG,,7/18/2013,10:01,3.2507,3.2394,3.3923,4.018,2.7683,3.7057,2.3099,3.9707,10.2694,6.4673,19.7393,6.73,25.9782,4.3345,1
P1030622.JPG,,7/18/2013,10:03,3.6779,4.0263,3.3744,3.6622,2.183,3.8878,3.0193,4.7122,11.2929,7.0309,24.3437,7.6079,32.9172,4.656,1
P1030623.JPG,,7/18/2013,10:04,4.1606,4.0041,3.8215,4.2816,2.5744,3.2931,2.2204,3.4596,9.819,6.4911,18.8718,5.1548,21.9748,3.5937,1
P1030624.JPG,,7/18/2013,10:05,3.9654,3.9892,4.1916,4.3342,2.9874,4.753,3.2063,4.0701,10.9393,7.0949,22.6272,6.7699,30.9393,4.5758,1
P1030625.JPG,,7/18/2013,10:07,3.533,3.968,3.5158,3.4552,2.4348,4.4913,2.6096,3.7604,9.7836,6.3059,18.3693,6.8888,22.2576,4.0477,1
P1030626.JPG,,7/18/2013,10:08,3.5697,3.1559,3.8443,3.4456,2.8311,3.8449,2.631,3.2727,10.574,6.7338,19.9641,6.3452,24.1142,4.2233,1
P1030627.JPG,,7/18/2013,10:19,4.2216,3.7677,4.4074,3.9266,3.1497,4.0905,2.7204,4.9076,10.9965,6.8688,21.5167,7.0799,26.0462,3.9894,1
P1030628.JPG,,7/18/2013,10:20,3.7115,3.0196,3.6196,3.0433,2.3661,3.3965,2.2564,3.8438,9.3633,6.6378,18.1225,5.2119,20.551,3.6595,1
P1030629.JPG,,7/18/2013,10:21,4.3913,3.3914,3.8165,3.9032,2.592,4.1361,3.1332,3.887,10.9835,7.0588,21.4223,7.2225,27.3681,4.5476,1
P1030630.JPG,,7/18/2013,10:22,3.2272,3.272,3.221,3.7941,2.0016,3.9618,2.4577,3.8083,9.9635,6.7297,20.4229,6.6513,23.9265,4.3564,1
P1030631.JPG,,7/18/2013,10:23,3.6262,3.4087,3.9581,3.6672,2.4923,4.6994,2.4464,4.0988,9.7994,6.3108,19.8391,6.119,22.644,4.0807,1
P1030632.JPG,,7/18/2013,10:24,3.5991,3.659,3.8799,3.4228,2.5235,3.6423,3.0238,3.8088,10.0982,7.0574,20.6645,6.5431,27.3681,3.8406,1
P1030633.JPG,,7/18/2013,10:25,3.3577,4.5232,3.4179,4.3736,2.5323,4.6167,2.9218,4.5909,10.2882,6.7696,21.3198,7.2123,28.0686,4.4151,1
P1030634.JPG,,7/18/2013,10:26,3.4422,3.8426,3.0283,3.2917,2.6156,4.2827,2.7468,3.7327,9.9076,6.7774,20.2153,6.1375,22.612,3.6623,1
P1030635.JPG,,7/18/2013,10:27,3.6755,3.53,3.4292,3.9446,2.8881,4.0271,1.9964,4.2332,9.1469,6.4846,21.8207,7.5568,23.2462,3.7443,1
P1030636.JPG,,7/18/2013,10:28,3.3829,3.6082,3.5198,3.8736,2.2011,4.9884,3.1179,4.8188,10.141,6.719,20.5856,6.6959,28.342,4.6475,1
P1030637.JPG,,7/18/2013,11:00,2.5196,3.4915,3.0445,3.1228,1.7758,3.5068,1.9228,3.4439,8.7042,6.2361,18.09,5.2053,20.4803,3.5544,1
P1030638.JPG,,7/18/2013,11:02,3.963,3.4854,3.199,3.7541,2.2272,3.6386,2.5873,4.0028,9.6896,6.482,20.842,6.8314,22.9474,4.0579,1
P1030639.JPG,,7/18/2013,11:03,2.9438,3.7702,3.3173,3.8936,2.4317,4.0186,2.5242,4.2907,9.3974,6.2715,17.9097,6.0847,22.4697,4.1369,1
P1030640.JPG,,7/18/2013,11:04,3.4766,3.971,3.3726,3.7493,2.8477,3.9452,2.4242,4.105,10.0608,6.518,18.0717,5.6276,19.4275,3.5112,1
P1030641.JPG,,7/18/2013,11:05,3.0977,3.6171,3.2348,3.3777,1.7707,3.6622,2.896,4.1691,9.496,6.4706,20.2846,6.275,25.3294,4.2659,1
P1030642.JPG,,7/18/2013,11:06,3.8102,4.1657,3.1139,4.4765,3.1922,4.2856,2.8926,4.0879,10.1557,6.976,21.0231,7.0876,21.9114,4.4968,1
