ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
2A,6/13/2013,6/30/2013,00:21,3.739216228,4.522038589,3.977084988,4.158325144,2.385,4.591527959,2.709293081,4.613302721,11.310448,6.984221718,19.84782532,7.214319996,26.73619004,4.3948306,1
2A,6/17/2013,6/30/2013,08:39,2.986862735,4.13237946,3.700250937,4.540469139,2.243172084,4.970479253,2.76285975,4.663205872,11.58031822,6.884531211,20.1718256,7.943191109,28.23968259,3.734513757,1
2A,6/21/2013,6/30/2013,08:26,3.729,4.511659783,3.557972035,4.67261918,2.648201276,5.092232222,2.953097696,5.027530805,11.35018489,7.055628108,21.9311191,6.885098765,30.40633008,3.892863727,1
2-C,5/30/2013,6/29/2013,20:24,4.172645324,5.740357567,4.429303896,5.450669133,2.500772881,5.644250615,2.159236208,6.542060379,14.96119795,8.326127191,28.27775766,9.63224003,44.86627157,5.710416885,1
4,6/13/2013,6/30/2013,09:30,3.353521284,4.08729764,3.451456504,3.874766832,2.690642488,4.235403405,1.783662804,4.580941825,10.57477967,6.97270084,19.17268411,6.223180618,25.29687554,4.032669091,1
4,6/17/2013,6/30/2013,09:27,3.393686196,4.206061578,2.98772154,4.075790598,2.320353852,5.344389582,2.108779031,4.747910909,10.98314072,7.118959053,22.32370814,7.154860306,31.63435843,4.397510432,1
4,6/19/2013,6/30/2013,08:27,3.484054248,4.101297356,3.255863787,4.349440079,2.012212712,5.428886534,1.864000268,5.407429704,11.56560111,7.359095393,20.92466757,7.526408174,30.3497813,4.687944112,1
4-A,6/11/2013,6/29/2013,23:39,2.841304806,3.661616173,3.468907177,3.835323194,2.200363606,4.664849087,1.825477472,4.590899803,9.620489177,6.976458701,18.92367729,6.129535219,20.45978206,3.025084627,1
4-A,6/21/2013,6/30/2013,08:31,3.290750826,4.218310207,3.304379064,4.007518185,2.518003177,4.441946083,2.062086565,4.866131112,10.30138515,6.572068472,20.62028402,6.365464948,29.00506206,4.266171703,1
4-B,6/11/2013,6/29/2013,22:37,3.269591565,3.721135982,2.685809561,3.820115182,2.632223585,4.035773284,1.94784522,4.445405831,9.493943596,7.05021716,19.03873657,6.187564626,22.54213495,3.409517561,1
4-B,6/21/2013,6/30/2013,08:29,3.115,4.057011955,2.936025375,4.078148722,2.453440238,4.565141947,2.028319501,4.210220541,10.65463514,6.810391252,20.33245652,6.886419825,27.72366534,4.095424276,1
4-C,6/11/2013,6/29/2013,23:37,3.044194803,3.82611095,3.25583077,3.965632484,2.141704928,3.990280316,2.19332191,4.534112923,10.16750992,7.087288974,20.05274487,6.133006114,26.27108528,3.704244187,1
4-D,6/11/2013,6/29/2013,23:42,3.068131027,3.8757736,2.99563182,4.014077852,2.272532728,4.543305515,1.898064804,4.343589529,9.997824613,7.036,19.27541839,6.376,22.73043114,3.535483701,1
5A,6/5/2013,6/29/2013,20:55,4.489712686,5.295566825,3.643771947,5.076634811,2.647183031,5.616543599,1.976042763,5.326954289,12.30075872,7.281611085,25.36999821,7.772756847,29.54386549,4.447728859,1
5A,6/21/2013,6/30/2013,08:22,2.558470832,3.488961163,3.134363891,4.145220139,1.826437242,5.40777089,2.169189941,5.034225362,10.6917348,7.175418594,20.71242661,6.521282083,29.40337657,3.944889606,1
6,6/11/2013,6/29/2013,22:21,3.70783306,4.887805745,4.216505307,4.346360777,2.25328782,5.182457429,2.552614346,5.452095469,11.17072554,7.402052958,21.7422704,7.57,29.2867937,4.347442927,1
6,6/19/2013,6/30/2013,00:24,3.52765191,4.438118971,3.448323796,3.822965472,2.332374327,4.817848586,2.339208627,5.625744573,10.86327115,7.047631162,22.29453207,7.086139217,28.56619731,3.527155511,1
6-A,6/9/2013,6/29/2013,21:43,3.249156352,4.353055938,3.082410907,4.644896124,2.262446684,4.985467882,1.939464359,5.512528367,10.93422814,6.532128673,22.36407481,8.384638931,28.70608946,4.156286443,1
6-A,6/11/2013,6/29/2013,22:38,4.107483049,4.967245212,3.183358761,4.725228672,2.593370201,5.082237696,2.269929514,4.902893533,11.21896965,7.304174834,22.85629788,8.449191441,31.53246162,4.067227311,1
6A,6/15/2013,6/29/2013,23:26,3.91820418,4.982533994,3.49237183,4.672672041,3.209940342,5.065704788,2.608526212,5.030180215,11.30249357,7.434238428,22.93190121,7.09752323,33.51758136,4.119069919,1
6A,6/15/2013,6/30/2013,00:53,3.429421526,4.657927865,3.181386176,4.68972174,2.022510569,5.01151075,1.890774709,4.745492704,10.61370854,6.781230346,21.17976263,7.574411792,29.56245203,3.890041131,1
6A,6/21/2013,6/30/2013,08:21,3.0431648,3.585824591,3.385692987,3.990639673,1.627477189,4.748307067,1.974613127,4.648582149,11.16111365,6.674,21.41785678,6.539795486,29.53293572,4.0518787,1
6B,6/9/2013,6/29/2013,20:52,3.416285995,4.500717387,3.378558864,4.855675648,2.383084136,5.371357463,2.199818402,5.28276916,10.68668124,7.090509502,22.54210159,6.686,29.15726873,3.616120158,1
6B,6/13/2013,6/30/2013,09:06,3.82561433,4.044062932,3.956514881,4.35276751,2.500945421,4.806263518,2.323813461,4.871311938,11.31308928,6.820790717,20.53800119,7.748267548,29.01841143,4.253092169,1
6B,6/15/2013,6/30/2013,09:23,3.602674701,4.278501724,3.237112602,4.627643245,2.297147144,4.894580268,2.007489228,4.69861437,11.53939314,6.865049235,21.50179165,6.552825345,28.79887951,4.463302925,1
6B,6/21/2013,6/30/2013,08:38,2.847273081,3.830076892,3.167145402,3.555573231,1.859171859,4.201172812,1.998041041,4.110151335,10.19423572,6.745175535,19.67431391,6.14948258,25.14714556,3.662226236,1
6C,6/9/2013,6/29/2013,22:20,3.685884561,4.411446248,3.990686157,4.433778186,2.026879621,4.518909271,2.498756691,4.763516453,11.53783832,7.070672175,22.27591893,7.584661495,28.04628833,4.321149963,1
6C,6/15/2013,6/30/2013,09:55,3.500567097,4.02020696,3.422609823,3.960223352,2.453966992,4.833856638,2.208109825,5.013799059,10.65157951,7.160753661,22.35978569,7.882447399,30.32617327,4.426599824,1
6D,6/15/2013,6/30/2013,09:19,3.47910477,3.982144774,3.543625545,4.788568471,2.017889987,4.99835543,2.645551927,5.122436334,11.1437911,6.956866033,21.93595446,7.02455358,27.77967799,3.996170292,1
7A,6/5/2013,6/29/2013,20:53,3.876137897,4.84827031,3.711275387,4.073338803,2.137591635,5.422450461,2.256396463,5.34005412,10.80018523,6.999037434,23.84157554,7.149995594,29.1724831,4.053346519,1
8A,5/30/2013,6/29/2013,20:26,3.779655672,5.812279501,3.233289656,5.232034499,2.56812013,5.770486635,1.504323436,5.850177519,13.64477666,8.407800247,28.33968463,9.929190148,42.06977283,5.488076621,1
9E,6/5/2013,6/29/2013,20:23,3.970018262,5.102733483,4.010281287,5.219559464,2.098549976,5.312352492,2.404015183,5.165389143,12.35737658,7.526749365,22.52155092,7.700291488,28.54811883,4.234181031,1
9G,6/5/2013,6/29/2013,20:21,3.826918604,4.783209174,3.510141023,4.657635452,1.909676412,5.556529852,2.531228951,5.471708508,11.74405267,7.453592758,23.61652853,8.553516528,31.9189869,3.932019329,1
10A-A,6/19/2013,6/30/2013,09:49,3.780227506,4.441524513,3.9484074,3.755355909,2.280349535,4.935956341,2.181625541,5.139508245,10.77044201,7.22704158,21.38020171,6.438522191,26.01965768,3.917093055,1
10A-B,6/19/2013,6/30/2013,00:09,2.925453811,4.074375044,3.448162409,3.909226138,1.581273537,5.107647795,2.126988952,5.281074228,10.78387913,6.674794753,20.48027666,6.919198364,26.77962199,3.786479235,1
