ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
2A,6/13/2013,6/30/2013,00:21,3.401354142,4.478258702,3.730794687,4.19332243,2.762758223,4.279844039,2.875805626,4.400694718,10.76086428,6.367439674,20.66906793,7.335324192,26.22237098,3.241518934,1
2A,6/17/2013,6/30/2013,08:39,3.021354663,4.187859835,3.71697202,4.746045301,2.403912852,5.033485174,2.644818708,4.788578495,11.23615673,6.543763443,21.11490291,7.873167914,27.96222316,3.5250878,1
2A,6/21/2013,6/30/2013,08:26,3.811220539,4.343193526,4.025422338,4.343193526,2.7245128,5.260829022,2.954333258,5.625006756,11.20289342,6.844105347,22.76414817,6.901069845,29.79139883,3.893943117,1
2-C,5/30/2013,6/29/2013,20:24,4.645138642,5.792276927,4.354498938,5.396561868,2.780077157,5.748775957,3.761167505,5.761452768,14.60106695,8.277516536,29.45217332,9.846107454,44.60388634,5.062835964,1
4,6/13/2013,6/30/2013,09:30,3.546093202,3.789056083,3.543537357,3.933078311,2.544683084,4.353907785,1.813550385,4.52136705,10.68427747,6.924852923,18.80392845,6.061524973,25.22866865,3.809841073,1
4,6/17/2013,6/30/2013,09:27,3.418656607,4.359991399,3.087256549,4.077271269,2.308099001,5.244473853,2.838813308,4.558881551,11.12911901,7.103076657,22.17981165,6.965098133,31.63617834,4.073882669,1
4,6/19/2013,6/30/2013,08:27,3.498137362,4.415922667,3.891672777,3.958545819,2.469076953,4.741153552,2.170757702,5.498512981,11.13297072,7.308146482,21.57236292,7.096684367,30.11847778,4.323995606,1
4-A,6/11/2013,6/29/2013,23:39,2.792419202,3.556371887,3.774893508,3.945946908,2.704747863,4.479322382,1.827941192,4.908562009,10.11661999,6.667054672,18.65747081,5.941236403,20.33732883,2.990738036,1
4-A,6/21/2013,6/30/2013,08:31,3.545629704,4.120294286,3.620082872,4.137710116,2.914629651,5.167630889,2.343757027,5.02575656,10.18457957,6.858049941,20.94645636,6.411493508,28.6630157,3.804892771,1
4-B,6/11/2013,6/29/2013,22:37,3.409966715,3.652133212,3.014388163,3.744361094,2.717777401,4.08765385,2.035074692,3.851777382,9.228332081,6.740538406,18.99259237,5.955214942,22.398,3.155968314,1
4-B,6/21/2013,6/30/2013,08:29,3.373085383,3.890011054,3.294282623,4.008330575,2.513211491,4.884136157,2.554,4.540202639,10.87564803,6.8666711,20.3332599,6.844062244,27.54507283,4.265080539,1
4-C,6/11/2013,6/29/2013,23:37,3.106376667,3.952670237,3.466511936,4.147761324,2.255936613,3.837374102,3.182133247,3.739000134,10.51132251,6.941238002,19.60914136,6.098776025,25.94603532,3.418149792,1
4-D,6/11/2013,6/29/2013,23:42,3.197119328,3.811013776,3.357286553,4.368,2.576313646,4.455960615,2.333979649,4.582148077,9.931387869,6.897958684,19.42736153,6.36664315,23.08614574,3.262654288,1
5A,6/5/2013,6/29/2013,20:55,4.331900853,4.828876474,3.925578811,5.319159708,3.29242312,5.728,2.765478982,5.198345987,11.99554005,7.378876066,24.54062471,7.54381316,30.33000577,4.533185414,1
5A,6/21/2013,6/30/2013,08:22,2.911058227,4.391306525,3.390840014,4.274547578,2.232136645,5.033230772,2.528094342,4.447752241,11.2332149,7.060755271,20.01859248,6.606035119,29.53320155,4.02727563,1
6,6/11/2013,6/29/2013,22:21,3.903028183,4.449255668,4.299693943,4.720344161,2.577839599,5.32913736,3.800364193,4.519701318,11.62416659,7.337382708,21.87928194,7.449263655,28.92675467,4.02329641,1
6,6/19/2013,6/30/2013,00:24,3.936153071,4.741178862,3.603620957,4.2371704,2.576177401,4.442770532,2.81794198,5.218443063,11.36385168,7.044354619,21.88868319,7.233611062,28.28161723,3.760757902,1
6-A,6/9/2013,6/29/2013,21:43,3.418517369,4.239155576,3.636402205,4.306086158,2.80487932,5.116043198,2.636583395,5.584656211,10.8987541,6.863865529,21.96121374,8.397647409,28.99152876,3.875751411,1
