	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:03:33.4	Cam1_BL	+ 0:02:40.0	5/22/2013	0	0.00697339	1.92	42.88	4.37E-05
Trial     2	+ 0:03:33.4	Cam1_BR	+ 0:02:40.0	5/22/2013	0	4.28227	96.96	27.52	0.0268178
Trial     3	+ 0:03:33.4	Cam1_TL	+ 0:02:40.0	5/22/2013	0	0.0200117	1.92	69.44	0.000125324
Trial     4	+ 0:03:33.4	Cam1_TR	+ 0:02:40.0	5/22/2013	0	0	-	-	0
Trial     5	+ 0:04:45.4	Cam2_BL	+ 0:03:34.1	5/22/2013	0	1.69559	83.52	5.44	0.0079322
Trial     6	+ 0:04:45.4	Cam2_BR	+ 0:03:34.1	5/22/2013	0	0.272031	25.92	9.6	0.0012726
Trial     7	+ 0:04:45.4	Cam2_TL	+ 0:03:34.1	5/22/2013	0	0.21811	36.8	1.92	0.00102035
Trial     8	+ 0:04:45.4	Cam2_TR	+ 0:03:34.1	5/22/2013	0	0	-	-	0
Trial     9	+ 0:04:45.4	Cam3_BL	+ 0:03:34.1	5/22/2013	0	0.656678	41.28	3.84	0.00307203
Trial    10	+ 0:04:45.4	Cam3_BR	+ 0:03:34.1	5/22/2013	0	2.62189	96.32	14.08	0.0122656
Trial    11	+ 0:04:45.4	Cam3_TL	+ 0:03:34.1	5/22/2013	0	2.81874	112.96	6.72	0.0131865
Trial    12	+ 0:04:45.4	Cam3_TR	+ 0:03:34.1	5/22/2013	0	0.311642	37.44	69.44	0.0014579
Trial    13	+ 0:04:45.4	Cam4_BL	+ 0:03:34.1	5/22/2013	0	0.107442	47.68	3.52	0.000502628
Trial    14	+ 0:04:45.4	Cam4_BR	+ 0:03:34.1	5/22/2013	0	0.111592	35.84	6.08	0.000522042
Trial    15	+ 0:04:45.4	Cam4_TL	+ 0:03:34.1	5/22/2013	0	1.82828	69.12	11.52	0.00855297
Trial    16	+ 0:04:45.4	Cam4_TR	+ 0:03:34.1	5/22/2013	0	0.0307851	9.6	57.92	0.000144017
Trial    17	+ 0:03:33.4	Cam5_BL	+ 0:02:40.0	5/22/2013	0	0.174538	36.16	5.76	0.00109305
Trial    18	+ 0:03:33.4	Cam5_BR	+ 0:02:40.0	5/22/2013	0	0.223771	40	4.16	0.00140137
Trial    19	+ 0:03:33.4	Cam5_TL	+ 0:02:40.0	5/22/2013	0	0.039169	3.84	25.28	0.000245297
Trial    20	+ 0:03:33.4	Cam5_TR	+ 0:02:40.0	5/22/2013	0	0	-	-	0
Trial    21	+ 0:04:45.4	Cam6_BL	+ 0:03:34.1	5/22/2013	0	3.63823	124.16	8	0.0170201
Trial    22	+ 0:04:45.4	Cam6_BR	+ 0:03:34.1	5/22/2013	0	7.80474	140.8	0.32	0.0365117
Trial    23	+ 0:04:45.4	Cam6_TL	+ 0:03:34.1	5/22/2013	0	2.71163	120.96	3.84	0.0126854
Trial    24	+ 0:04:45.4	Cam6_TR	+ 0:03:34.1	5/22/2013	0	0.0302952	4.8	41.92	0.000141725
Trial    25	+ 0:04:45.4	Cam7_BL	+ 0:03:34.1	5/22/2013	0	0.843185	85.12	28.16	0.00394454
Trial    26	+ 0:04:45.4	Cam7_BR	+ 0:03:34.1	5/22/2013	0	7.026	162.88	0.96	0.0328686
Trial    27	+ 0:04:45.4	Cam7_TL	+ 0:03:34.1	5/22/2013	0	1.0934	87.68	0.32	0.00511506
Trial    28	+ 0:04:45.4	Cam7_TR	+ 0:03:34.1	5/22/2013	0	8.29966	155.52	10.88	0.038827
Trial    29	+ 0:04:45.4	Cam8_BL	+ 0:03:34.1	5/22/2013	0	7.15426	146.24	3.52	0.0334686
Trial    30	+ 0:04:45.4	Cam8_BR	+ 0:03:34.1	5/22/2013	0	2.27861	60.8	23.68	0.0106597
Trial    31	+ 0:04:45.4	Cam8_TL	+ 0:03:34.1	5/22/2013	0	6.75471	130.88	20.8	0.0315995
Trial    32	+ 0:04:45.4	Cam8_TR	+ 0:03:34.1	5/22/2013	0	0.650164	31.68	17.6	0.00304156
