	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.3	Cam1_TL	+ 0:07:48.2	5/24/2013	0	0.115277	22.72	3.2	0.000246403
Trial     2	+ 0:10:24.3	Cam1_TR	+ 0:07:48.2	5/24/2013	0	0.0146251	1.92	360.96	3.13E-05
Trial     5	+ 0:10:24.3	Cam2_BL	+ 0:07:48.2	5/24/2013	0	0.79862	106.56	6.4	0.00170704
Trial     6	+ 0:10:24.3	Cam2_BR	+ 0:07:48.2	5/24/2013	0	2.03789	148.8	20.8	0.00435595
Trial     7	+ 0:10:24.3	Cam2_TR	+ 0:07:48.2	5/24/2013	0	2.83926	134.4	22.72	0.00606888
Trial     9	+ 0:10:24.3	Cam3_BR	+ 0:07:48.2	5/24/2013	0	1.32815	128.32	10.56	0.00283889
Trial    10	+ 0:10:24.3	Cam3_TR	+ 0:07:48.2	5/24/2013	0	4.47773	277.76	1.6	0.00957107
Trial    13	+ 0:10:24.3	Cam4_BR	+ 0:07:48.2	5/24/2013	0	0.0148868	1.92	60.8	3.18E-05
Trial    14	+ 0:10:24.3	Cam4_TL	+ 0:07:48.2	5/24/2013	0	1.85233	128	4.16	0.00395933
Trial    15	+ 0:10:24.3	Cam4_TR	+ 0:07:48.2	5/24/2013	0	0.0997118	31.04	291.52	0.000213132
Trial    17	+ 0:10:24.3	Cam5_BL	+ 0:07:48.2	5/24/2013	0	6.89599	269.76	1.92	0.0147401
Trial    18	+ 0:10:24.3	Cam5_BR	+ 0:07:48.2	5/24/2013	0	0.551712	89.92	7.68	0.00117927
Trial    19	+ 0:10:24.3	Cam5_TL	+ 0:07:48.2	5/24/2013	0	0	-	-	0
Trial    20	+ 0:10:24.3	Cam5_TR	+ 0:07:48.2	5/24/2013	0	0	-	-	0
Trial    21	+ 0:10:24.3	Cam6_BL	+ 0:07:48.2	5/24/2013	0	5.57217	269.76	1.92	0.0119104
Trial    22	+ 0:10:24.3	Cam6_BR	+ 0:07:48.2	5/24/2013	0	0.1985	75.52	16	0.00042429
Trial    23	+ 0:10:24.3	Cam6_TL	+ 0:07:48.2	5/24/2013	0	0.0462259	5.76	99.84	9.88E-05
Trial    24	+ 0:10:24.3	Cam6_TR	+ 0:07:48.2	5/24/2013	0	5.58774	280.32	1.28	0.0119437
Trial    25	+ 0:10:24.3	Cam7_BL	+ 0:07:48.2	5/24/2013	0	7.96838	275.84	0.32	0.0170323
Trial    26	+ 0:10:24.3	Cam7_BR	+ 0:07:48.2	5/24/2013	0	1.25319	62.4	0.32	0.00267868
Trial    27	+ 0:10:24.3	Cam7_TL	+ 0:07:48.2	5/24/2013	0	0.0454755	8.64	380.48	9.72E-05
Trial    28	+ 0:10:24.3	Cam7_TR	+ 0:07:48.2	5/24/2013	0	2.83631	211.84	1.6	0.00606257
Trial    29	+ 0:10:24.3	Cam8_BL	+ 0:07:48.2	5/24/2013	0	0	-	-	0
Trial    30	+ 0:10:24.3	Cam8_BR	+ 0:07:48.2	5/24/2013	0	2.53072	87.36	0.64	0.00540937
Trial    31	+ 0:10:24.3	Cam8_TL	+ 0:07:48.2	5/24/2013	0	2.43568	164.48	16.64	0.00520622
Trial    32	+ 0:10:24.3	Cam8_TR	+ 0:07:48.2	5/24/2013	0	2.52314	190.08	14.72	0.00539317
