	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	T1_Cam1_BL	+ 0:07:48.5	6/20/2013	0	0.0436275	69.0676	15.0147	9.32E-05
Trial     2	+ 0:10:24.6	T1_Cam1_BR	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial     3	+ 0:10:24.6	T1_Cam1_TL	+ 0:07:48.5	6/20/2013	0	0.0281138	43.0421	13.6801	6.01E-05
Trial     4	+ 0:10:24.6	T1_Cam1_TR	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial     5	+ 0:10:24.7	T1_Cam2_BL	+ 0:07:48.3	6/20/2013	0	2.07549	226.822	3.30323	0.00443521
Trial     6	+ 0:10:24.7	T1_Cam2_BR	+ 0:07:48.3	6/20/2013	0	2.65606	193.056	1.10108	0.00567585
Trial     7	+ 0:10:24.7	T1_Cam2_TL	+ 0:07:48.3	6/20/2013	0	-	-	-	-
Trial     8	+ 0:10:24.7	T1_Cam2_TR	+ 0:07:48.3	6/20/2013	0	8.44106	278.206	3.67026	0.0180381
Trial     9	+ 0:10:24.6	T1_Cam3_BL	+ 0:07:48.5	6/20/2013	0	5.277	298.959	1.6683	0.0112726
Trial    10	+ 0:10:24.6	T1_Cam3_BR	+ 0:07:48.5	6/20/2013	0	3.25042	218.547	2.66928	0.0069435
Trial    11	+ 0:10:24.6	T1_Cam3_TL	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    12	+ 0:10:24.6	T1_Cam3_TR	+ 0:07:48.5	6/20/2013	0	5.71243	227.556	0.33366	0.0122028
Trial    13	+ 0:10:24.6	T1_Cam4_BL	+ 0:07:48.5	6/20/2013	0	0.3534	113.444	4.33758	0.000754927
Trial    14	+ 0:10:24.6	T1_Cam4_BR	+ 0:07:48.5	6/20/2013	0	6.07121	312.639	14.3474	0.0129692
Trial    15	+ 0:10:24.6	T1_Cam4_TL	+ 0:07:48.5	6/20/2013	0	2.45134	189.519	0.66732	0.00523651
Trial    16	+ 0:10:24.6	T1_Cam4_TR	+ 0:07:48.5	6/20/2013	0	0.640619	155.819	3.3366	0.00136848
Trial    17	+ 0:10:24.6	T1_Cam5_BL	+ 0:07:48.5	6/20/2013	0	0.0291468	54.0529	9.34248	6.23E-05
Trial    18	+ 0:10:24.6	T1_Cam5_BR	+ 0:07:48.5	6/20/2013	0	6.15005	256.251	93.0911	0.013213
Trial    19	+ 0:10:24.6	T1_Cam5_TL	+ 0:07:48.5	6/20/2013	0	0.206217	94.0921	10.3435	0.000440516
Trial    20	+ 0:10:24.6	T1_Cam5_TR	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    21	+ 0:10:24.6	T1_Cam6_BL	+ 0:07:48.5	6/20/2013	0	0.0745489	58.0568	4.00392	0.00015925
Trial    22	+ 0:10:24.6	T1_Cam6_BR	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    23	+ 0:10:24.6	T1_Cam6_TL	+ 0:07:48.5	6/20/2013	0	0.0645349	55.0539	161.158	0.000137858
Trial    24	+ 0:10:24.6	T1_Cam6_TR	+ 0:07:48.5	6/20/2013	0	0.415247	69.4013	1.00098	0.000887043
Trial    25	+ 0:10:24.7	T1_Cam7_BL	+ 0:07:48.3	6/20/2013	0	0	-	-	0
Trial    26	+ 0:10:24.7	T1_Cam7_BR	+ 0:07:48.3	6/20/2013	0	1.79428	188.284	6.60647	0.00383427
Trial    27	+ 0:10:24.7	T1_Cam7_TL	+ 0:07:48.3	6/20/2013	0	0.515684	171.034	1.4681	0.00110199
Trial    28	+ 0:10:24.7	T1_Cam7_TR	+ 0:07:48.3	6/20/2013	0	0.0540337	15.4151	4.40431	0.000115467
Trial    30	+ 0:10:24.3	T1_Cam8_BR	+ 0:07:48.2	6/20/2013	0	1.68112	87.9861	324.918	0.00359323
Trial    31	+ 0:10:24.3	T1_Cam8_TL	+ 0:07:48.2	6/20/2013	0	6.86424	266.361	1.50147	0.0146716
Trial    32	+ 0:10:24.3	T1_Cam8_TR	+ 0:07:48.2	6/20/2013	0	0.948755	144.141	5.40529	0.00202917
Trial    37	+ 0:10:24.3	T2_Cam1_BL	+ 0:07:48.1	6/20/2013	0	0	-	-	0
Trial    38	+ 0:10:24.6	T2_Cam1_BR	+ 0:07:48.5	6/20/2013	0	1.94126	110.108	5.67222	0.00414689
Trial    39	+ 0:10:24.6	T2_Cam1_TL	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    40	+ 0:10:24.6	T2_Cam1_TR	+ 0:07:48.5	6/20/2013	0	5.41131	266.594	2.33562	0.0115595
Trial    41	+ 0:10:24.6	T2_Cam2_BL	+ 0:07:48.5	6/20/2013	0	0.32654	124.789	3.00294	0.000697549
Trial    42	+ 0:10:24.6	T2_Cam2_BR	+ 0:07:48.5	6/20/2013	0	3.7182	247.242	1.00098	0.00794274
Trial    43	+ 0:10:24.6	T2_Cam2_TL	+ 0:07:48.5	6/20/2013	0	2.70625	159.156	4.33758	0.00578104
Trial    44	+ 0:10:24.6	T2_Cam2_TR	+ 0:07:48.5	6/20/2013	0	0.0892424	63.0617	3.67026	0.000190638
Trial    45	+ 0:10:24.6	T2_Cam3_BL	+ 0:07:48.5	6/20/2013	0	0.713038	203.199	152.816	0.00152318
Trial    46	+ 0:10:24.6	T2_Cam3_BR	+ 0:07:48.5	6/20/2013	0	0.0485028	42.0412	4.33758	0.000103611
Trial    47	+ 0:10:24.6	T2_Cam3_TL	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    48	+ 0:10:24.6	T2_Cam3_TR	+ 0:07:48.5	6/20/2013	0	2.21867	151.482	4.00392	0.00473947
Trial    51	+ 0:10:24.6	T2_Cam4_TL	+ 0:07:48.5	6/20/2013	0	0.0412623	44.0431	14.0137	8.81E-05
Trial    53	+ 0:10:24.6	T2_Cam5_BL	+ 0:07:48.5	6/20/2013	0	0.145871	122.787	2.66928	0.000313844
Trial    54	+ 0:10:24.6	T2_Cam5_BR	+ 0:07:48.5	6/20/2013	0	5.13265	263.258	18.685	0.0110035
Trial    55	+ 0:10:24.6	T2_Cam5_TL	+ 0:07:48.5	6/20/2013	0	0.62966	121.786	7.34052	0.00134507
Trial    56	+ 0:10:24.6	T2_Cam5_TR	+ 0:07:48.5	6/20/2013	0	1.56779	149.813	4.00392	0.00334908
Trial    57	+ 0:10:24.6	T2_Cam6_BL	+ 0:07:48.5	6/20/2013	0	0.334148	51.7173	1.00098	0.000713801
Trial    58	+ 0:10:24.6	T2_Cam6_BR	+ 0:07:48.5	6/20/2013	0	3.52925	218.881	6.33954	0.00753913
Trial    59	+ 0:10:24.6	T2_Cam6_TL	+ 0:07:48.5	6/20/2013	0	4.07022	205.535	7.34052	0.00869473
Trial    60	+ 0:10:24.6	T2_Cam6_TR	+ 0:07:48.5	6/20/2013	0	0.886925	99.7643	8.00784	0.00189463
Trial    61	+ 0:10:24.6	T2_Cam7_BL	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    62	+ 0:10:24.6	T2_Cam7_BR	+ 0:07:48.5	6/20/2013	0	1.95301	141.472	7.34052	0.00417198
Trial    63	+ 0:10:24.6	T2_Cam7_TL	+ 0:07:48.5	6/20/2013	240	0.906511	43.7095	337.664	0.0042253
Trial    64	+ 0:10:24.6	T2_Cam7_TR	+ 0:07:48.5	6/20/2013	0	2.90562	215.544	17.0167	0.00620694
Trial    65	+ 0:10:24.6	T2_Cam8_BL	+ 0:07:48.5	6/20/2013	0	0.184956	48.7144	254.249	0.000395099
Trial    66	+ 0:10:24.6	T2_Cam8_BR	+ 0:07:48.5	6/20/2013	0	4.2697	245.574	1.6683	0.00912085
Trial    67	+ 0:10:24.6	T2_Cam8_TL	+ 0:07:48.5	6/20/2013	0	0.716074	142.139	0.66732	0.00152967
Trial    68	+ 0:10:24.6	T2_Cam8_TR	+ 0:07:48.5	6/20/2013	0	0.950548	116.447	5.33856	0.00203054
Trial    74	+ 0:10:24.6	T1_Cam8_BL	+ 0:07:48.5	6/20/2013	0	0	-	-	0
Trial    75	+ 0:10:24.6	T2_Cam4_TR	+ 0:07:48.5	6/20/2013	0	7.46161	278.272	1.33464	0.0159393
Trial    76	+ 0:09:04.5	T1_Cam9_BL	+ 0:06:48.4	6/20/2013	0	0.0458394	41.0402	3.67026	0.000112333
