	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	6.4.13_T1_Cam1_TL	+ 0:07:48.5	6/4/2013	0	10.3803	378.704	1.6683	0.0221742
Trial     3	+ 0:10:24.6	6.4.13T1_Cam1_BL	+ 0:07:48.5	6/4/2013	0	0.650394	61.7271	0.33366	0.00138936
Trial     4	+ 0:10:24.6	6.4.13_T1_Cam1_BR	+ 0:07:48.5	6/4/2013	0	6.30634	323.984	3.3366	0.0134715
Trial     5	+ 0:10:24.6	6.4.13_T1_Cam1_TR	+ 0:07:48.5	6/4/2013	0	1.2479	97.7624	2.00196	0.00266573
Trial     6	+ 0:10:24.6	6.4.13_T1_CAM2_BL	+ 0:07:48.5	6/4/2013	0	0	-	-	0
Trial     7	+ 0:10:24.6	6.4.13_T1_CAM2_BR	+ 0:07:48.5	6/4/2013	0	6.49277	290.618	0.66732	0.0138895
Trial     8	+ 0:10:24.6	6.4.13_T1_CAM2_TL	+ 0:07:48.5	6/4/2013	0	0.121648	8.67516	2.66928	0.000259862
Trial     9	+ 0:10:24.6	6.4.13_T1_CAM2_TR	+ 0:07:48.5	6/4/2013	0	6.153	330.323	3.3366	0.0131439
Trial    10	+ 0:10:24.6	6.4.13_T1_Cam3_BL	+ 0:07:48.5	6/4/2013	0	0	-	-	0
Trial    11	+ 0:10:24.6	6.4.13_T1_Cam3_BR	+ 0:07:48.5	6/4/2013	0	12.1824	413.738	0.66732	0.0260983
Trial    12	+ 0:10:24.6	6.4.13_T1_Cam3_TL	+ 0:07:48.5	6/4/2013	0	0	-	-	0
Trial    13	+ 0:10:24.6	6.4.13_T1_Cam3_TR	+ 0:07:48.5	6/4/2013	0	0	-	-	0
Trial    14	+ 0:10:24.6	6.4.13_T1_Cam4_BL	+ 0:07:48.5	6/4/2013	0	0	-	-	0
Trial    15	+ 0:10:24.6	6.4.13_T1_Cam4_BR	+ 0:07:48.5	6/4/2013	0	11.1431	375.367	0.33366	0.0238376
Trial    16	+ 0:10:24.6	6.4.13_T1_Cam4_TL	+ 0:07:48.5	6/4/2013	0	0.0044012	1.00098	458.115	9.40E-06
Trial    17	+ 0:10:24.6	6.4.13_T1_Cam4_TR	+ 0:07:48.5	6/4/2013	0	0	-	-	0
Trial    18	+ 0:10:24.6	6.4.13_T1_Cam5_BL	+ 0:07:48.5	6/4/2013	0	3.69853	196.526	4.33758	0.00790074
Trial    19	+ 0:10:24.6	6.4.13_T1_Cam5_BR	+ 0:07:48.5	6/4/2013	0	0.0834892	16.3493	13.6801	0.000178603
