	Trial duration	Arena settings	Recording duration	Date	TimeMissing	Distance moved Center-point Total m	Movement Moving / Center-point Cumulative Duration s	Movement Moving / Center-point Latency to first s	Velocity Center-point Mean m/s
Trial     1	+ 0:10:24.6	Cam1_BL	+ 0:07:48.5	6/5/2013	0	1.89148	189.185	2.66928	0.00404054
Trial     2	+ 0:10:24.6	Cam1_BR	+ 0:07:48.5	6/5/2013	0	5.12409	281.609	0.66732	0.010946
Trial     3	+ 0:10:24.6	Cam1_TL	+ 0:07:48.5	6/5/2013	0	0.33597	14.0137	5.67222	0.000717693
Trial     4	+ 0:10:24.6	Cam1_TR	+ 0:07:48.5	6/5/2013	0	0	-	-	0
Trial     5	+ 0:10:24.6	Cam2_BL	+ 0:07:48.5	6/5/2013	0	0.309531	20.0196	3.00294	0.000661214
Trial     6	+ 0:10:24.6	Cam2_BR	+ 0:07:48.5	6/5/2013	0	3.96227	241.236	1.00098	0.00846413
Trial     7	+ 0:10:24.6	Cam2_TL	+ 0:07:48.5	6/5/2013	0	0.337379	149.48	3.67026	0.000720703
Trial     8	+ 0:10:24.6	Cam2_TR	+ 0:07:48.5	6/5/2013	0	0.0197503	2.00196	197.86	4.22E-05
Trial     9	+ 0:10:24.6	Cam3_BL	+ 0:07:48.5	6/5/2013	0	2.48795	106.771	0.66732	0.00531472
Trial    10	+ 0:10:24.6	Cam3_BR	+ 0:07:48.5	6/5/2013	0	0	-	-	0
Trial    11	+ 0:10:24.6	Cam3_TL	+ 0:07:48.5	6/5/2013	0	0	-	-	0
Trial    12	+ 0:10:24.6	Cam3_TR	+ 0:07:48.5	6/5/2013	0	0	-	-	0
Trial    13	+ 0:10:24.6	Cam4_BL	+ 0:07:48.5	6/5/2013	0	1.03284	93.4248	0.33366	0.00220633
Trial    14	+ 0:10:24.6	Cam4_BR	+ 0:07:48.5	6/5/2013	0	0.519668	40.7065	6.00588	0.00111011
Trial    15	+ 0:10:24.6	Cam4_TL	+ 0:07:48.5	6/5/2013	0	0.161849	17.684	89.7545	0.000345739
Trial    16	+ 0:10:24.6	Cam4_TR	+ 0:07:48.5	6/5/2013	0	10.2146	329.99	2.66928	0.0218203
Trial    17	+ 0:10:24.6	Cam5_BL	+ 0:07:48.5	6/5/2013	0	8.60878	345.338	0.66732	0.0183899
Trial    20	+ 0:10:24.6	Cam5_TR	+ 0:07:48.5	6/5/2013	0	0	-	-	0
Trial    21	+ 0:10:24.6	Cam6_BL	+ 0:07:48.5	6/5/2013	0	8.98933	355.014	2.00196	0.0192029
Trial    23	+ 0:10:24.6	Cam6_TL	+ 0:07:48.5	6/5/2013	0	0.0920216	12.0118	52.3846	0.000196575
Trial    24	+ 0:10:24.6	Cam6_TR	+ 0:07:48.5	6/5/2013	0	-	-	-	-
Trial    25	+ 0:10:24.6	Cam7_BL	+ 0:07:48.5	6/5/2013	0	8.69301	359.018	0.33366	0.0185698
Trial    26	+ 0:10:24.6	Cam7_BR	+ 0:07:48.5	6/5/2013	0	4.63261	269.264	0.66732	0.0098961
Trial    27	+ 0:10:24.6	Cam7_TL	+ 0:07:48.5	6/5/2013	0	2.93886	219.215	2.33562	0.00627794
Trial    28	+ 0:10:24.6	Cam7_TR	+ 0:07:48.5	6/5/2013	0	1.37535	119.117	0.33366	0.00293799
