CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-5-22,69,63,56,58,55,52,93,76,58,29.90,29.78,29.69,10,10,10,20,10,28,0.00,6,,260
2013-5-23,66,59,51,55,52,49,93,80,67,30.22,30.08,29.91,10,10,10,20,10,25,T,7,Rain,327
2013-5-24,70,59,48,51,45,39,96,66,35,30.40,30.30,30.22,10,9,2,16,9,23,0.00,0,,110
2013-5-25,74,64,53,63,51,40,84,70,55,30.25,30.19,30.07,10,10,5,18,10,23,0.17,3,Rain-Thunderstorm,124
2013-5-26,84,72,59,69,63,57,93,74,55,30.14,30.04,29.96,10,10,10,20,9,24,0.01,3,Rain-Thunderstorm,138
2013-5-27,73,68,62,67,63,59,93,83,73,30.04,29.89,29.76,10,8,0,30,10,39,1.41,5,Fog-Rain-Thunderstorm,152
2013-5-28,78,73,67,71,67,63,87,80,73,29.87,29.80,29.73,10,10,10,25,11,33,0.03,4,Rain-Thunderstorm,175
2013-5-29,84,76,68,68,65,60,87,71,55,29.89,29.85,29.75,10,10,10,22,13,31,0.00,2,,161
2013-5-30,83,73,63,68,63,61,100,79,58,29.83,29.79,29.72,10,7,1,30,13,38,1.61,6,Rain-Thunderstorm,205
2013-5-31,82,72,61,73,63,56,100,90,79,29.89,29.78,29.69,10,7,0,31,12,40,3.66,7,Fog-Rain-Thunderstorm,128
2013-6-1,74,68,61,65,61,54,100,79,57,29.94,29.79,29.70,10,10,7,21,11,27,0.04,5,Rain,238
2013-6-2,65,61,56,55,54,53,86,79,72,30.05,30.01,29.94,10,10,10,15,8,18,0.00,8,,330
2013-6-3,71,63,55,54,51,46,86,68,49,30.09,30.03,29.97,10,10,10,12,5,15,0.00,3,,78
2013-6-4,75,65,54,60,56,51,86,72,57,30.05,30.01,29.95,10,10,10,16,8,21,0.00,0,,123
2013-6-5,73,65,57,63,59,55,93,78,63,30.01,29.95,29.89,10,9,4,10,5,13,0.12,3,Rain,104
2013-6-6,76,67,58,62,58,52,100,73,46,29.92,29.90,29.87,10,7,1,15,8,18,0.00,5,,335
2013-6-7,74,65,55,56,53,51,86,66,46,29.97,29.93,29.91,10,10,10,15,8,22,0.00,1,,342
2013-6-8,78,66,53,57,55,52,100,72,43,29.96,29.92,29.86,10,10,5,15,7,19,0.00,0,,159
2013-6-9,76,70,63,63,60,58,93,79,64,29.90,29.85,29.77,10,9,2,16,9,21,0.16,6,Rain,197
2013-6-10,81,72,62,63,61,58,90,72,54,29.90,29.85,29.79,10,10,10,18,7,24,0.00,4,,269
2013-6-11,92,78,64,70,66,62,93,70,47,29.91,29.88,29.84,10,10,9,22,10,27,0.00,0,,190
2013-6-12,92,83,74,72,70,66,84,67,49,29.89,29.82,29.75,10,10,10,30,15,37,0.00,1,,220
2013-6-13,86,76,66,64,60,57,73,58,42,30.04,29.97,29.83,10,10,10,23,9,31,0.00,3,,335
2013-6-14,84,74,63,64,62,58,87,67,46,30.06,30.01,29.95,10,10,10,18,6,23,0.00,0,,124
2013-6-15,85,76,67,73,67,63,93,79,65,30.08,30.00,29.94,10,9,2,29,9,38,0.93,5,Rain-Thunderstorm,206
2013-6-16,83,75,67,74,70,66,100,87,74,30.05,29.97,29.90,10,9,2,12,5,15,0.20,7,Rain-Thunderstorm,117
2013-6-17,81,73,64,71,67,62,93,81,69,30.00,29.94,29.90,10,10,10,18,6,24,T,3,Rain-Thunderstorm,294
2013-6-18,87,76,64,69,62,59,93,68,42,30.00,29.97,29.94,10,10,10,14,6,19,0.00,0,,318
2013-6-19,84,72,60,66,62,59,93,70,46,30.06,30.03,29.99,10,10,10,9,5,12,0.00,0,,117
2013-6-20,87,77,67,69,66,63,87,69,50,30.08,30.04,29.99,10,10,10,20,10,25,T,1,Rain-Thunderstorm,153
2013-6-21,91,81,71,74,71,66,84,70,56,30.06,30.02,29.96,10,10,10,20,10,23,T,0,,171
2013-6-22,90,82,73,73,71,66,87,72,56,30.05,30.00,29.93,10,10,10,18,11,24,0.00,0,,168
2013-6-23,89,79,69,73,67,64,90,75,59,30.02,29.97,29.90,10,9,0,26,11,34,0.45,3,Fog-Rain-Thunderstorm,148
2013-6-24,89,78,67,73,70,65,93,76,59,30.03,29.96,29.87,10,9,5,20,10,25,0.00,0,,170
2013-6-25,89,83,77,74,71,68,84,72,59,29.95,29.88,29.81,10,10,10,24,13,30,0.00,0,,186
2013-6-26,95,85,74,74,68,62,87,62,36,29.84,29.77,29.74,10,10,9,22,11,26,0.00,1,,254
2013-6-27,90,79,68,72,68,64,87,67,47,29.95,29.89,29.83,10,10,10,16,6,,0.00,0,,301
2013-6-28,88,78,68,71,62,53,90,61,31,29.93,29.83,29.76,10,10,7,26,12,32,0.00,2,Thunderstorm,304
2013-6-29,83,74,64,64,59,57,87,65,43,29.80,29.75,29.70,10,10,2,40,14,53,0.15,2,Rain,311
2013-6-30,78,71,64,62,61,57,87,71,54,29.97,29.89,29.80,10,10,10,22,12,26,T,7,Rain,353
2013-7-1,82,71,60,61,55,50,90,64,37,30.04,30.01,29.97,10,10,10,22,12,28,0.00,2,,5
2013-7-2,81,69,57,57,53,49,80,58,35,30.07,30.04,30.01,10,10,10,23,10,29,0.00,0,,21
2013-7-3,84,70,56,60,56,53,93,66,39,30.08,30.04,30.00,10,10,10,17,6,21,T,1,Rain-Thunderstorm,222
2013-7-4,85,72,58,60,57,54,84,62,40,30.07,30.04,29.99,10,10,10,18,6,23,0.00,1,,160
2013-7-5,85,74,63,65,61,57,87,65,43,30.06,30.01,29.96,10,10,10,23,8,30,T,0,,154
2013-7-6,88,76,63,68,63,57,93,68,43,30.02,29.98,29.93,10,10,6,17,8,22,0.00,0,,158
2013-7-7,90,79,67,70,66,63,87,67,47,30.02,29.99,29.96,10,10,9,18,9,23,0.00,0,,186
2013-7-8,90,83,75,72,69,65,79,66,52,30.09,30.03,30.01,10,10,1,16,10,24,0.00,1,,199
2013-7-9,94,85,75,72,71,69,82,64,46,30.04,29.98,29.89,10,10,10,23,10,28,0.00,0,,196
2013-7-10,89,80,71,76,70,64,85,66,46,30.01,29.95,29.89,10,9,0,20,10,29,0.67,4,Fog-Rain-Thunderstorm,281
2013-7-11,85,75,65,63,61,59,87,67,46,30.07,30.04,30.01,10,10,10,14,8,20,0.00,0,,60
2013-7-12,83,72,61,63,59,56,90,65,40,30.12,30.07,30.03,10,10,7,15,7,20,0.00,0,,111
2013-7-13,81,72,62,66,61,57,90,72,54,30.10,30.06,30.01,10,10,10,10,5,13,0.00,0,,113
2013-7-14,86,75,64,68,63,60,87,68,48,30.12,30.08,30.04,10,10,9,15,8,19,0.00,0,,103
2013-7-15,89,79,69,74,70,67,94,76,57,30.23,30.17,30.12,10,9,1,16,7,21,0.32,3,Rain-Thunderstorm,128
2013-7-16,90,81,71,74,72,70,100,76,52,30.30,30.25,30.20,10,9,5,13,6,15,0.00,2,,135
2013-7-17,93,83,73,74,71,69,93,71,49,30.33,30.26,30.19,10,10,10,10,4,13,0.00,0,,158
2013-7-18,93,83,72,73,70,67,87,66,44,30.22,30.11,30.01,10,10,10,10,5,14,0.00,1,,169
2013-7-19,96,84,71,71,68,66,90,64,38,30.01,29.94,29.86,10,10,10,15,8,19,0.00,0,,218
2013-7-20,87,80,72,73,69,66,84,73,62,29.94,29.89,29.85,10,10,6,21,8,25,0.05,3,Rain,241
2013-7-21,83,76,68,71,69,66,100,83,65,29.94,29.89,29.85,10,7,1,20,6,21,1.04,5,Rain,139
2013-7-22,91,78,65,73,69,65,100,78,56,29.88,29.84,29.76,10,4,0,14,6,17,0.00,2,Fog,184
2013-7-23,87,78,68,74,69,63,84,70,55,29.92,29.85,29.79,10,10,10,23,8,31,0.00,1,Thunderstorm,354
2013-7-24,81,73,64,63,60,58,87,68,48,30.04,29.99,29.94,10,10,10,14,7,16,0.00,1,,53
2013-7-25,82,71,59,65,60,57,90,71,51,30.13,30.07,30.03,10,10,10,10,5,13,0.00,1,,121
2013-7-26,76,71,65,70,66,59,97,84,70,30.06,30.01,29.97,10,9,4,16,7,21,0.21,6,Rain,193
2013-7-27,76,66,56,59,53,48,93,66,38,30.06,30.01,29.98,10,10,10,17,9,23,0.00,1,,334
2013-7-28,80,66,52,55,51,46,89,61,33,30.06,30.03,30.01,10,10,10,13,6,16,0.00,0,,227
2013-7-29,74,67,59,66,62,55,93,81,68,30.15,30.10,30.06,10,10,9,14,7,16,0.06,6,Rain,124
2013-7-30,85,76,67,74,68,63,94,82,69,30.05,30.01,29.97,10,10,4,10,5,14,0.10,7,Rain,118
2013-7-31,79,72,65,72,68,63,100,85,69,30.10,30.05,30.01,10,8,2,16,7,20,T,7,,355
2013-8-1,88,75,62,68,64,61,93,67,40,30.10,30.05,29.97,10,10,7,9,4,13,0.00,0,,285
2013-8-2,78,73,67,73,68,64,100,85,69,29.97,29.94,29.89,10,7,1,16,6,20,0.47,6,Rain-Thunderstorm,146
2013-8-3,86,77,67,72,68,63,100,81,61,30.14,30.01,29.93,10,6,0,13,7,17,0.00,6,Fog,47
2013-8-4,77,70,63,67,63,59,93,77,60,30.17,30.12,30.05,10,10,10,13,6,16,0.00,3,,113
2013-8-5,83,76,69,74,70,66,97,86,74,30.06,29.96,29.84,10,10,9,17,7,22,0.00,7,,149
2013-8-6,87,79,70,74,71,67,100,83,65,29.94,29.87,29.81,10,7,0,33,8,43,0.46,5,Fog-Rain-Thunderstorm,170
2013-8-7,86,79,71,73,71,69,100,83,65,29.93,29.88,29.80,10,10,10,23,9,31,T,2,Thunderstorm,242
2013-8-8,80,74,67,71,68,65,97,86,74,29.99,29.94,29.91,10,10,9,13,6,15,0.00,2,,27
2013-8-9,78,72,66,71,68,65,97,84,71,30.09,30.02,29.96,10,9,4,8,4,10,0.02,3,Rain,47
